"FACILITY_ID","FACILITY_NAME","CERTIFICATION_NUMBER","AREA_OFFICE_ABBREV","FACILITY_ADDRESS_1","FACILITY_ADDRESS_2","FACILITY_CITY","FACILITY_ZIP","COUNTY","PHONE","FACILITY_WEBSITE","OPERATOR","OPERATOR_ADDRESS_1","OPERATOR_ADDRESS_2","OPERATOR_CITY","OPERATOR_STATE","OPERATOR_ZIP","MEDICARE_CERTIFIED","MEDICARE_NUMBER","MEDICAID_CERTIFIED","OWNERSHIP","MULTICAMPUS_FACILITY_ID","NOTES","OCCUPANCY_RATE","OCCUPANCY_REPORT_DATE","OCCUPANCY_EXCEPTION_COMMENT","AVERAGE_OCCUPIED_BEDS","INSP_STANDARD_HEALTH","INSP_LSC","INSP_TOTAL","INSP_HARM","INSP_PERCENT_HARM","COMP_RECEIVED","COMP_RECEIVED_PER_100","COMP_SELF_REPORTED","COMP_ONSITE","COMP_CITATIONS","COMP_CITATIONS_PER_100","ALL_SURVEYS","COMP_DEF_ADMINISTRATION","COMP_DEF_QUALITY_OF_CARE","COMP_DEF_RESIDENT_RIGHTS","COMP_DEF_RESIDENT_ASSESSMENT","COMP_DEF_DIETARY_SERVICES","COMP_DEF_PHYSICAL_ENVIRONMENT","COMP_DEF_OTHER_SERVICES","COMP_DEF_TOTAL","TOTAL_BEDS","EMPLOYEE_FLU_VACCINATION_RATE","VACCINATION_RATE_REPORT_DATE"
"440","Monroe Community Hospital","2701006N","2ROCH","435 East Henrietta Road","","Rochester","14620","Monroe","5857606500","#http://www.monroehosp.org/#","County of Monroe","111 Westfall Road","","Rochester","NY","14692","1","335197","1","Public--County","","","0.88","21OCT2020","","543","30","7","37","1","0.03","401","73.8","0.80","96","12","2.2","12","1","3","6","1","0","0","1","12","566","0.89","31OCT2019"
"442","St Johns Health Care Corporation","2701353N","2ROCH","150 Highland Avenue","","Rochester","14620","Monroe","5852715413","#http://stjohnsliving.org/st-johns-home/home#","St Johns Health Care Corporation","150 Highland Avenue","","Rochester","NY","14620","1","335008","1","Voluntary--Not for Profit Corporation","","","0.68","21OCT2020","","440","15","11","26","0","0.00","342","77.7","0.84","72","5","1.1","7","1","1","0","2","1","0","0","5","455","0.97","31OCT2019"
"444","Church Home of the Protestant Episcopal Church","2701339N","2ROCH","505 Mt Hope Avenue","","Rochester","14620","Monroe","5855468400","#http://episcopalseniorlife.org/church_home.asp#","Church Home of the Protestant Episcopal Church","505 Mount Hope Avenue","","Rochester","NY","14620","1","335263","1","Voluntary--Not for Profit Corporation","","","0.86","21OCT2020","","160","18","5","23","0","0.00","80","50.1","0.86","23","1","0.6","5","0","1","0","0","0","0","0","1","182","0.83","31OCT2019"
"446","Brighton Manor","2701354N","2ROCH","989 Blossom Road","","Rochester","14610","Monroe","5854823500","#http://www.brightonmanor.us/#","Blossom Health Care Center Inc","989 Blossom Road","","Rochester","NY","14610","1","335473","1","Proprietary--Business Corporation","","","0.55","21OCT2020","","69","31","5","36","1","0.03","113","163.6","0.64","45","16","23.2","13","3","7","4","2","0","0","0","16","80","0.45","31OCT2019"
"448","The Pearl Nursing Center of Rochester","2701366N","2ROCH","1335 Portland Avenue","","Rochester","14621","Monroe","5855444400","#http://www.newrocrehab.com/#","The Pearl Nursing Center of Rochester, LLC","1335 Portland Avenue","","Rochester","NY","14621","1","335439","1","Proprietary--LLC","","SFF","0.80","21OCT2020","","104","76","45","121","1","0.01","151","145.3","0.63","63","18","17.3","13","0","6","2","2","1","3","2","18","120","0.40","31OCT2019"
"449","Wesley Gardens Corporation","2701352N","2ROCH","3 Upton Park","","Rochester","14607","Monroe","5852412100","#http://www.wesleygardens.com/#","Wesley Gardens Corporation","3 Upton Park","","Rochester","NY","14607","1","335488","1","Voluntary--Not for Profit Corporation","","","0.75","21OCT2020","","170","55","20","75","2","0.03","107","63.0","0.42","48","16","9.4","7","2","4","4","3","0","0","3","16","200","0.88","31OCT2019"
"457","Wedgewood Nursing and Rehabilitation Center","2722302N","2ROCH","5 Church Street","","Spencerport","14559","Monroe","5853524810","#http://www.hurlbutcare.com/our-communities/wedgewood-nursing-facility#","LFG Operating LLC","5 Church Street","","Spencerport","NY","14559","1","335408","1","Proprietary--LLC","","","0.86","21OCT2020","","26","9","5","14","0","0.00","12","45.3","0.67","5","1","3.8","4","0","0","0","0","0","0","1","1","29","0.97","31OCT2019"
"459","Fairport Baptist Homes","2725300N","2ROCH","4646 Nine Mile Point Road","","Fairport","14450","Monroe","5853770350","#http://fairportbaptisthomes.org/#","Fairport Baptist Home","4646 Nine Mile Point Road","","Fairport","NY","14450","1","335576","1","Voluntary--Not for Profit Corporation","","","0.87","21OCT2020","","161","18","12","30","0","0.00","55","34.1","0.89","15","0","0.0","4","0","0","0","0","0","0","0","0","142","0.55","31OCT2019"
"462","Maplewood Nursing Home Inc","2729300N","2ROCH","100 Daniel Drive","","Webster","14580","Monroe","5858721800","#http://www.visitmaplewood.com/#","Maplewood Nursing Home Inc","100 Daniel Drive","","Webster","NY","14580","1","335572","1","Proprietary--Business Corporation","","","1.01","14OCT2020","","72","6","8","14","0","0.00","5","7.0","0.40","3","1","1.4","4","0","1","0","0","0","0","0","1","72","1.00","31OCT2019"
"463","The Brightonian, Inc","2750307N","2ROCH","1919 Elmwood Avenue","","Rochester","14620","Monroe","5852718700","#http://www.hurlbutcare.com/our-communities/the-brightonian#","The Brightonian, Inc","1919 Elmwood Avenue","","Rochester","NY","14620","1","335554","1","Proprietary--Business Corporation","","","0.69","21OCT2020","","52","38","10","48","0","0.00","28","54.1","0.18","16","3","5.8","6","0","1","1","0","0","0","1","3","54","0.49","31OCT2019"
"464","The Friendly Home","2750301N","2ROCH","3156 East Avenue","","Rochester","14618","Monroe","5853811600","#http://friendlyseniorliving.org/friendly-home#","Rochester Friendly Home Inc","3156 East Avenue","","Rochester","NY","14618","1","335476","1","Voluntary--Not for Profit Corporation","","","0.82","21OCT2020","","192","7","9","16","0","0.00","62","32.2","0.84","24","0","0.0","4","0","0","0","0","0","0","0","0","200","0.86","31OCT2019"
"465","The Hurlbut","2750308N","2ROCH","1177 East Henrietta Rd","","Rochester","14623","Monroe","5854244770","#http://www.hurlbutcare.com/our-communities/the-hurlbut#","The Hurlbut, LLC","1177 East Henrietta Road","","Rochester","NY","14623","1","335341","1","Proprietary--LLC","","","0.53","21OCT2020","","146","22","2","24","1","0.04","57","38.9","0.37","31","5","3.4","5","0","3","0","2","0","0","0","5","160","0.90","31OCT2019"
"466","Woodside Manor Nursing Home Inc","2750303N","2ROCH","2425 Clinton Avenue South","","Rochester","14618","Monroe","5854610370","#http://www.hurlbutcare.com/our-communities/woodside-manor#","Woodside Manor Nursing Home Inc","2425 Clinton Avenue South","","Rochester","NY","14618","1","335366","1","Proprietary--Business Corporation","","","0.80","21OCT2020","","40","18","5","23","0","0.00","20","50.0","0.60","10","1","2.5","4","0","0","0","0","0","0","1","1","44","0.68","31OCT2019"
"469","Elderwood of Lakeside at Brockport","2728300N","2ROCH","170 West Avenue","","Brockport","14420","Monroe","5853956052","#http://www.elderwood.com/location/elderwood-lakeside-brockport/#","170 West Avenue Operating Company, LLC","170 West Avenue","","Brockport","NY","14420","1","335569","1","Proprietary--LLC","","","0.91","21OCT2020","","112","11","1","12","0","0.00","50","44.6","0.58","26","0","0.0","4","0","0","0","0","0","0","0","0","120","0.00","01JAN1960"
"470","Creekview Nursing and Rehab Center","2753301N","2ROCH","525 Beahan Road","","Rochester","14624","Monroe","5852477880","#http://creekviewnursing.com/#","Westgate Nursing Home Inc.","525 Beahan Road","","Rochester","NY","14624","1","335556","1","Proprietary--Business Corporation","","","0.94","21OCT2020","","90","96","30","126","5","0.04","211","233.7","0.57","64","46","50.9","15","6","15","7","4","0","3","10","45","124","0.86","31OCT2019"
"472","Hamilton Manor Nursing Home","2701364N","2ROCH","1172 Long Pond Road","","Rochester","14626","Monroe","5852250450","#http://www.hurlbutcare.com/our-communities/hamilton-manor#","Hamilton Manor Nursing Home, LLC","740 East Avenue","","Rochester","NY","14607","1","335615","1","Proprietary--LLC","","","0.73","21OCT2020","","38","17","6","23","0","0.00","21","55.7","0.48","12","0","0.0","4","0","0","0","0","0","0","0","0","40","0.00","01JAN1960"
"473","Latta Road Nursing Home West","2701362N","2ROCH","2100 Latta Road","","Rochester","14612","Monroe","5852250910","#http://www.hurlbutcare.com/our-communities/latta-road-west#","Latta Road Nursing Home West, LLC","740 East Avenue","","Rochester","NY","14607","1","335617","1","Proprietary--LLC","","","0.93","21OCT2020","","38","13","5","18","0","0.00","14","36.5","0.79","8","0","0.0","4","0","0","0","0","0","0","0","0","40","0.97","31OCT2019"
"475","Latta Road Nursing Home East","2701363N","2ROCH","2102 Latta Road","","Rochester","14612","Monroe","5852250920","#http://www.lattaroadnh.com/about.htm#","Latta Road Nursing Home East, LLC","740 East Avenue","","Rochester","NY","14607","1","335618","1","Proprietary--LLC","","","0.73","21OCT2020","","38","11","1","12","0","0.00","32","84.1","0.69","12","3","7.9","5","0","0","2","0","0","0","1","3","40","0.97","31OCT2019"
"476","St Anns Community","2757300N","2ROCH","1500 Portland Avenue","","Rochester","14621","Monroe","5856976000","#http://www.stannscommunity.com/communities/st-anns-home/#","St Anns Home for the Aged","1500 Portland Avenue","","Rochester","NY","14621","1","335081","1","Voluntary--Not for Profit Corporation","","","0.65","21OCT2020","","415","15","14","29","0","0.00","69","16.6","0.67","28","1","0.2","5","0","0","1","0","0","0","0","1","470","0.81","31OCT2019"
"477","St Anns Community","2757301N","2ROCH","920 Cherry Ridge Boulevard","","Webster","14580","Monroe","5856976999","#http://www.cherryridgecommunity.com/#","St Anns Nursing Home Company Inc, (The Heritage)","1450 Portland Avenue","","Rochester","NY","14621","1","335730","1","Voluntary--Not for Profit Corporation","","","0.99","21OCT2020","","99","10","5","15","0","0.00","50","50.3","0.92","10","1","1.0","4","0","1","0","0","0","0","0","1","72","0.93","31OCT2019"
"478","Penfield Place","2761303N","2ROCH","1700 Penfield Rd","","Penfield","14526","Monroe","5855867433","#http://www.hurlbutcare.com/our-communities/penfield-place#","Penfield Place, LLC","1700 Penfield Road","","Penfield","NY","14526","1","335407","1","Proprietary--LLC","","","0.90","21OCT2020","","45","23","7","30","0","0.00","15","33.5","0.60","9","5","11.2","7","0","1","1","0","0","0","3","5","48","0.00","01JAN1960"
"479","Hill Haven Nursing Home","2761302N","2ROCH","1550 Empire Blvd","","Webster","14580","Monroe","5856714300","#https://www.rochesterregional.org/locations/webster/hill-haven-living-and-nursing-rehabilitation#","Rochester General Long Term Care Inc","Harter Secrest@Emery 700 Midtown Tow","","Rochester","NY","14604","1","335247","1","Voluntary--Not for Profit Corporation","","","0.84","21OCT2020","","288","22","7","29","1","0.03","240","83.3","0.79","79","7","2.4","8","1","1","4","1","0","0","0","7","288","0.82","31OCT2019"
"481","Crest Manor Living and Rehabilitation Center","2762301N","2ROCH","6745 Pittsford-Palmyra Road","","Fairport","14450","Monroe","5852233633","#http://www.crestmanorliving.com/#","Crest Manor Living and Rehabilitation Center, Inc.","6745 Pittsford-Palmyra Road","","Fairport","NY","14450","1","335467","1","Proprietary--Business Corporation","","","0.93","21OCT2020","","72","15","12","27","0","0.00","33","46.1","0.64","18","1","1.4","4","0","1","0","0","0","0","0","1","80","0.76","31OCT2019"
"483","Wilkinson Residential Health Care Facility","2801001N","4TROY","4988 Sthwy 30","","Amsterdam","12010","Montgomery","5188423100","#http://www.smha.org/patient-care/wilkinson-nursing-home#","St. Mary's Healthcare","427 Guy Park Ave","","Amsterdam","NY","12010","1","335857","1","Voluntary--Not for Profit Corporation","","","0.84","21OCT2020","","156","19","6","25","0","0.00","45","28.8","0.56","17","5","3.2","5","0","2","1","1","0","0","1","5","160","0.98","31OCT2019"
"485","River Ridge Living Center","2801305N","4TROY","100 Sandy Drive","","Amsterdam","12010","Montgomery","5188433503","#http://riverridgelc.com/#","River Ridge Operating, LLC","100 Sandy Drive","","Amsterdam","NY","12010","1","335422","1","Proprietary--LLC","","","0.94","21OCT2020","","113","24","19","43","0","0.00","99","87.3","0.84","13","1","0.9","7","0","1","0","0","0","0","0","1","120","0.97","31OCT2019"
"488","Capstone Center for Rehabilitation and Nursing","2850301N","4TROY","302 Swart Hill Road","","Amsterdam","12010","Montgomery","5188426790","#http://www.capstonecenterrehab.com/#","CSRNC, LLC","1 Hillcrest Drive","Suite 225","Spring Valley","NY","10977","1","335543","1","Proprietary--LLC","","","0.93","14OCT2020","","105","18","15","33","0","0.00","70","66.7","0.49","14","6","5.7","7","1","0","3","2","0","0","0","6","120","0.79","31OCT2019"
"489","Palatine Nursing Home","2827000N","4TROY","154 Lafayette Street","","Palatine Bridge","13428","Montgomery","5186735212","#http://www.palatinenh.com/#","Cosden, LLC","224 Brookville Road","","Glen Head","NY","11545","1","335685","1","Proprietary--LLC","","","0.99","21OCT2020","","66","16","7","23","0","0.00","60","91.2","0.82","3","1","1.5","3","0","1","0","0","0","0","0","1","70","0.98","31OCT2019"
"491","Glengariff Rehabilitation and Healthcare Center","2901306N","7LI","141 Dosoris Lane","","Glen Cove","11542","Nassau","5166761100","#http://glengariffcare.com/#","Glengariff Operating LLC","141 Dosoris Lane","","Glen Cove","NY","11542","1","335211","1","Proprietary--LLC","","","0.71","21OCT2020","","226","20","12","32","1","0.03","69","30.6","0.39","26","3","1.3","7","0","2","0","1","0","0","0","3","262","0.92","31OCT2019"
"492","Emerge Nursing and Rehabilitation at Glen Cove","2901304N","7LI","2 Medical Plaza","","Glen Cove","11542","Nassau","5166710858","#http://www.marquisrehabandnursing.com/#","Montclair Care Center, Inc","2 Medical Plaza","","Glen Cove","NY","11542","1","335141","1","Proprietary--Business Corporation","","","0.80","21OCT2020","","86","9","4","13","0","0.00","40","46.5","0.35","14","4","4.7","5","0","1","1","0","0","0","0","2","102","0.95","31OCT2019"
"493","Glen Cove Center for Nursing and Rehabilitation","2901305N","7LI","6 Medical Plaza","","Glen Cove","11542","Nassau","5166719010","#http://www.glencoverehab.com/#","Forest Manor Care Center, Inc","6 Medical Plaza","","Glen Cove","NY","11542","1","335716","1","Proprietary--Business Corporation","","","0.71","21OCT2020","","136","12","9","21","0","0.00","67","49.2","0.55","22","1","0.7","6","0","1","0","0","0","0","0","1","154","0.95","31OCT2019"
"496","Beach Terrace Care Center","2902303N","7LI","640 West Broadway","","Long Beach","11561","Nassau","5164314400","#http://www.beach-terrace.com/#","Beach Terrace Care Center Inc","640 West Broadway","","Long Beach","NY","11561","1","335024","1","Proprietary--Business Corporation","","","0.80","21OCT2020","","173","8","12","20","0","0.00","9","5.2","0.11","4","1","0.6","5","1","0","0","0","0","0","0","1","182","0.89","31OCT2019"
"497","Grandell Rehabilitation and Nursing Center","2902304N","7LI","645 W Broadway","","Long Beach","11561","Nassau","5168891100","#http://www.grandellrehab.com/#","Grandell Rehabilitation and Nursing Center, Inc.","645 W Broadway","","Long Beach","NY","11561","1","335498","1","Proprietary--Business Corporation","","","0.73","21OCT2020","","268","11","5","16","3","0.19","63","23.5","0.83","23","4","1.5","8","0","2","2","0","0","0","0","4","278","0.72","31OCT2019"
"498","Long Beach Nursing and Rehabilitation Center","2902307N","7LI","375 East Bay Drive","","Long Beach","11561","Nassau","5168971110","#http://longbeachnrc.com/#","MLAP Acquisition I, LLC","375 East Bay Drive","","Long Beach","NY","11561","1","335432","1","Proprietary--LLC","","","0.77","21OCT2020","","139","14","5","19","0","0.00","65","46.9","0.57","18","5","3.6","7","0","1","2","0","0","0","2","5","150","0.79","31OCT2019"
"504","South Shore Rehabilitation and Nursing Center","2904302N","7LI","275 W Merrick Road","","Freeport","11520","Nassau","5166234000","#http://www.extendedcare.com/ElderCare/Facilities/NY/Freeport/SouthShore/#","South Shore Rehabilitation, LLC","275 W. Merrick Road","","Freeport","NY","11520","1","335156","1","Proprietary--LLC","","","0.77","21OCT2020","","91","18","15","33","1","0.03","52","57.4","0.33","26","6","6.6","10","1","2","0","0","0","0","3","6","100","0.88","31OCT2019"
"508","Hempstead Park Nursing Home","2906304N","7LI","800 Front Street","","Hempstead","11550","Nassau","5167059700","#https://hempsteadparknh.com/#","Sunshine Care Corp","800 Front Street","","Hempstead","NY","11550","1","335808","1","Proprietary--Business Corporation","","","0.80","14OCT2020","","230","17","10","27","0","0.00","224","97.5","0.89","37","1","0.4","6","0","0","0","1","0","0","0","1","251","0.87","31OCT2019"
"509","Mayfair Care Center","2906302N","7LI","100 Baldwin Road","","Hempstead","11550","Nassau","5165387171","#http://www.mayfaircarecenter.com/#","Mayfair Care Center Inc","100 Baldwin Road","","Hempstead","NY","11550","1","335279","1","Proprietary--Business Corporation","","","0.70","21OCT2020","","186","18","10","28","1","0.04","90","48.5","0.44","38","5","2.7","9","0","2","3","0","0","0","0","5","200","0.81","31OCT2019"
"516","The Grand Pavilion for Rehab & Nursing at Rockville Centre","2909305N","7LI","41 Maine Avenue","","Rockville Centre","11570","Nassau","5165367730","#http://www.extendedcare.com/ElderCare/Facilities/NY/RockvilleCentre/RockvilleNursing/#","Rockville Operating, LLC","41 Main Avenue","","Rockville Center","NY","11570","1","335297","1","Proprietary--LLC","","","0.84","21OCT2020","","151","5","6","11","0","0.00","41","27.2","0.20","21","2","1.3","6","0","1","1","0","0","0","0","2","158","0.83","31OCT2019"
"517","Rockville Skilled Nursing & Rehabilitation Center, LLC","2909304N","7LI","50 Maine Avenue","","Rockville Centre","11570","Nassau","5165368000","#http://rockvillerehab.com/#","Rockville Skilled Nursing & Rehabilitation Center, LLC","50 Maine Avenue","","Rockville Centre","NY","11570","1","335747","1","Proprietary--LLC","","","0.88","21OCT2020","","60","8","4","12","0","0.00","18","29.9","0.28","8","0","0.0","3","0","0","0","0","0","0","0","0","66","0.90","31OCT2019"
"520","Lynbrook Restorative Therapy and Nursing","2911303N","7LI","243 Atlantic Avenue","","Lynbrook","11563","Nassau","5165992744","#http://www.lynbrookrehab.com/#","East Rockaway Center, LLC","243 Atlantic Avenue","","Lynbrook","NY","11563-3552","1","335160","1","Proprietary--LLC","","","0.87","14OCT2020","","93","3","3","6","1","0.17","47","50.8","0.09","21","1","1.1","3","0","0","0","0","0","0","1","1","100","0.86","31OCT2019"
"521","The Grand Rehabilitation and Nursing at Great Neck","2913302N","7LI","15 St Pauls Place","","Great Neck","11021","Nassau","5164663001","#http://www.graceplaza.com/#","Grand Great Neck, LLC","15 St. Paul's Place","","Great Neck","NY","11021","1","335483","1","Proprietary--LLC","","","0.67","14OCT2020","","199","19","20","39","0","0.00","87","43.6","0.52","23","1","0.5","6","0","0","1","0","0","0","0","1","214","0.99","31OCT2019"
"524","Daleview Care Center","5150302N","7LI","574 Fulton Street","","Farmingdale","11735","Nassau","5166949800","#http://www.daleviewcarecenter.com/home.php#","MMR Care Corp","574 Fulton Street","","Farmingdale","NY","11735","1","335161","1","Proprietary--Business Corporation","","","0.82","14OCT2020","","127","11","8","19","0","0.00","23","18.1","0.26","9","0","0.0","4","0","0","0","0","0","0","0","0","142","0.95","31OCT2019"
"527","Mount Sinai South Nassau","2950001H","7LI","One Healthy Way","","Oceanside","11572","Nassau","5166323000","#https://www.southnassau.org/sn#","South Nassau Communities Hospital Inc","2445 Oceanside Road","","Oceanside","NY","11572","1","335871","1","Voluntary--Not for Profit Corporation","","","0.00","01JAN1960","Data not available.","0","5","3","8","0","0.00","3","0.0","0.00","1","0","0.0","4","0","0","0","0","0","0","0","0","455","0.00","01JAN1960"
"533","Belair Care Center Inc","2950301N","7LI","2478 Jerusalem Ave","","No Bellmore","11710","Nassau","5168261160","#http://www.belaircarecenter.com/#","Belair Care Center Inc","2478 Jersusalem Avenue","","North Bellmore","NY","11710","1","335140","1","Proprietary--Business Corporation","","","0.94","21OCT2020","","96","11","3","14","0","0.00","19","19.8","0.21","7","0","0.0","5","0","0","0","0","0","0","0","0","102","0.89","31OCT2019"
"534","A Holly Patterson Extended Care Facility","2950302N","7LI","875 Jerusalem Avenue","","Uniondale","11553","Nassau","5165721400","#http://www.nuhealth.net/about/centers-of-care/a_holly_patterson.asp#","Nassau Health Care Corporation","240 Old Country Road","","Mineola","NY","11501","1","335023","1","Public--County","","","0.67","21OCT2020","","529","6","16","22","0","0.00","58","11.0","0.38","15","0","0.0","4","0","0","0","0","0","0","0","0","589","0.78","31OCT2019"
"537","Oceanside Care Center Inc","2950314N","7LI","2914 Lincoln Avenue","","Oceanside","11572","Nassau","5165362300","#https://www.oceansidecc.com/#","Oceanside Care Center Inc","2914 Lincoln Avenue","","Oceanside","NY","11572","1","335158","1","Proprietary--Business Corporation","","","0.78","21OCT2020","","97","9","4","13","1","0.08","16","16.5","0.38","9","3","3.1","7","0","0","2","0","0","0","1","3","100","0.95","31OCT2019"
"538","Garden Care Center","2950316N","7LI","135 Franklin Avenue","","Franklin Square","11010","Nassau","5167752100","#http://www.gardencarerehab.com/#","Garden Care Center,Inc","135 Franklin Avenue","","Franklin Square","NY","11010","1","335817","1","Proprietary--Business Corporation","","","0.62","21OCT2020","","138","11","9","20","0","0.00","42","30.5","0.40","15","2","1.5","4","1","0","0","0","0","0","1","2","150","0.86","31OCT2019"
"539","The Five Towns Premier Rehabilitation & Nursing Center","2950315N","7LI","1050 Central Avenue","","Woodmere","11598","Nassau","5163749300","#https://fivetownspremier.com/#","Woodmere Rehab & Health Care Ctr, Inc","121 Franklin Place","","Woodmere","NY","11598","1","335718","1","Proprietary--Business Corporation","","","0.83","21OCT2020","","233","17","2","19","2","0.11","79","34.0","0.20","32","8","3.4","8","0","4","3","0","0","1","0","8","280","0.84","31OCT2019"
"546","Sands Point Center for Health and Rehabilitation","2951304N","7LI","1440 Port Washington Blvd","","Port Washington","11050","Nassau","5167199400","#http://www.sandspointcenter.com/#","AGMA Inc","1440 Port Washington Blvd","","Port Washington","NY","11050","1","335022","1","Proprietary--Business Corporation","","","0.69","21OCT2020","","169","24","10","34","0","0.00","50","29.5","0.68","13","1","0.6","5","0","0","1","0","0","0","0","1","180","0.99","31OCT2019"
"547","Highfield Gardens Care Center of Great Neck","2951306N","7LI","199 Community Drive","","Great Neck","11021","Nassau","5163659229","#http://www.highfieldgardens.com/#","Wedgewood Care Center Inc","199 Community Drive","","Great Neck","NY","11021","1","335250","1","Proprietary--Business Corporation","","","0.79","07OCT2020","","183","20","3","23","0","0.00","66","36.1","0.56","22","2","1.1","6","1","0","0","1","0","0","0","2","200","0.52","31OCT2019"
"548","Sunharbor Manor","2951307N","7LI","255 Warner Avenue","","Roslyn Heights","11577","Nassau","5166215400","#http://www.sunharbormanor.com/#","Sunharbor Acquistion I, LLC","255 Warner Avenue","","Roslyn Heights","NY","11577","1","335559","1","Proprietary--LLC","","","0.68","21OCT2020","","240","20","6","26","0","0.00","33","13.8","0.21","18","3","1.3","6","0","1","1","0","0","0","1","3","266","0.71","31OCT2019"
"557","Parkview Care and Rehabilitation Center, Inc.","2952301N","7LI","5353 Merrick Road","","Massapequa","11758","Nassau","5167981800","#https://profiles.health.ny.gov/nursing_home/view/150463#","Parkview Care and Rehabilitation Center, Inc.","5353 Merrick Road","","Massapequa","NY","11758","1","335074","1","Proprietary--Business Corporation","","","0.72","23SEP2020","","162","10","5","15","1","0.07","80","49.5","0.28","35","5","3.1","10","1","1","3","0","0","0","0","5","169","0.81","31OCT2019"
"558","Cold Spring Hills Center for Nursing and Rehabilitation","2952310N","7LI","378 Syosset-Woodbury Road","","Woodbury","11797","Nassau","5169213900","#http://www.coldspringhills.net/#","Cold Spring Acquisition, LLC","378 Syosset-Woodbury Road","","Woodbury","NY","11797","1","335555","1","Proprietary--LLC","","","0.73","21OCT2020","","558","40","19","59","1","0.02","223","40.0","0.41","57","12","2.2","13","1","3","3","2","0","1","2","12","588","0.66","31OCT2019"
"559","Excel at Woodbury for Rehabilitation and Nursing, LLC","2952309N","7LI","8533 Jericho Tpke","","Woodbury","11797","Nassau","5166924100","#http://www.excelwoodbury.com/#","Excel at Woodbury for Rehabilitation and Nursing, LLC","8533 Jericho Turnpike","","Woodbury","NY","11797","1","335231","1","Proprietary--LLC","","","0.74","21OCT2020","","110","6","4","10","0","0.00","41","37.4","0.27","18","1","0.9","5","0","0","1","0","0","0","0","1","123","0.94","31OCT2019"
"560","Central Island Healthcare","2952308N","7LI","825 Old Country Rd","","Plainview","11803","Nassau","5164330600","#http://www.centralislandhealthcare.com/#","Ozone Acquisition, LLC","825 Old Country Road","","Plainview","NY","11803","1","335284","1","Proprietary--LLC","","","0.68","21OCT2020","","183","14","13","27","0","0.00","32","17.5","0.34","20","1","0.5","5","0","0","1","0","0","0","0","1","202","0.94","31OCT2019"
"564","The Grand Rehabilitation and Nursing at South Point","2961303N","7LI","One Long Beach Road","","Island Park","11558","Nassau","5164320300","#http://facilities.thegrandhealthcare.com/facilities.html#South%20Point","Grand South Point, LLC","One Long Beach Road","","Island Park","NY","11558","1","335162","1","Proprietary--LLC","","","0.78","21OCT2020","","176","14","5","19","0","0.00","80","45.5","0.45","18","6","3.4","7","0","1","3","0","0","1","1","6","185","0.83","31OCT2019"
"568","Lockport Rehab & Health Care Center","3101307N","1BUFF","909 Lincoln Ave","","Lockport","14094","Niagara","7164346361","#http://lockportrehab.com/#","Maximus 909 Operations, LLC","909 Lincoln Avenue","","Lockport","NY","14094","1","335573","1","Proprietary--LLC","","","0.90","14OCT2020","","78","15","6","21","0","0.00","43","54.8","0.77","14","1","1.3","5","0","0","0","0","0","0","0","0","82","0.91","31OCT2019"
"571","Elderwood at Lockport","3101308N","1BUFF","104 Old Niagara Road","","Lockport","14094","Niagara","7164346324","#http://www.elderwood.com/location/elderwood-at-lockport/#","104 Old Niagara Road Operating Company, LLC","104 Old Niagara Road","","Lockport","NY","14094","1","335500","1","Proprietary--LLC","","","0.87","21OCT2020","","116","15","16","31","1","0.03","49","42.1","0.63","16","2","1.7","5","0","1","1","0","0","0","0","2","126","0.77","31OCT2019"
"579","Schoellkopf Health Center","3102307N","1BUFF","621 Tenth Street","","Niagara Falls","14302","Niagara","7162784578","#https://nfmmc.org/directory/locations/show/schoellkopf-health-center/#","Schoellkopf Health Center, Inc.","621 Tenth Street","","Niagara Falls","NY","14302","1","335376","1","Voluntary--Not for Profit Corporation","","","0.82","21OCT2020","","115","5","8","13","0","0.00","23","20.0","0.61","13","0","0.0","4","0","0","0","0","0","0","0","0","120","0.95","31OCT2019"
"580","Niagara Rehabilitation and Nursing Center","3102311N","1BUFF","822 Cedar Avenue","","Niagara Falls","14301","Niagara","7162821207","#http://www.niagararehab.org/#","Amerifalls, LLC","822 Cedar Avenue","","Niagara Falls","NY","14301","1","335742","1","Proprietary--LLC","","","0.80","21OCT2020","","145","57","32","89","1","0.01","229","158.4","0.46","51","16","11.1","13","1","6","1","2","0","1","5","16","160","0.77","31OCT2019"
"582","Degraff Memorial Hospital-Skilled Nursing Facility","3103000N","1BUFF","445 Tremont Street","","North Tonawanda","14120","Niagara","7166944500","#http://www.kaleidahealth.org/DeGraff/services/display.asp?s=651#","Kaleida Health","100 High Street","","Buffalo","NY","14203","1","335669","1","Voluntary--Not for Profit Corporation","","","0.89","21OCT2020","","77","8","6","14","0","0.00","35","45.2","0.54","8","1","1.3","4","0","1","0","0","0","0","0","1","80","0.80","31OCT2019"
"586","Newfane Rehab & Health Care Center","3154303N","1BUFF","2709 Transit Rd","","Newfane","14108","Niagara","7167787111","#http://newfanerehab.org/#","Newfane Operations, LLC","2709 Transit Road","","Newfane","NY","14108","1","335481","1","Proprietary--LLC","","","0.78","21OCT2020","","155","27","9","36","0","0.00","145","93.4","0.46","30","5","3.2","8","1","3","1","0","0","0","0","5","165","0.86","31OCT2019"
