"REG_SET_ID","TAG_NUMBER","CFR","TAG_TYPE","TAG_TITLE","TAG_TEXT"
"EP01","0039","","S","EP TESTING REQUIREMENTS","*[For RNCHI at §403.748, ASCs at §416.54, HHAs at §484.102, CORFs at §485.68, OPO, ""Organizations"" under §485.727, CMHC at §485.920, RHC/FQHC at §491.12, ESRD Facilities at §494.62]:

(2) Testing. The [facility] must conduct exercises to test the emergency plan annually. The [facility] must do all of the following:
	(i) Participate in a full-scale exercise that is community-based every 2 years; or
 		(A) When a community-based exercise is not accessible, conduct a facility-based functional exercise every 2 		years; or
		(B) If the [facility] experiences an actual natural or man-made emergency that requires activation of the emergency 		plan, the [facility] is exempt from engaging in its next required community-based or individual, facility-based 			functional exercise following the onset of the actual event.
	(ii) Conduct an additional exercise at least every 2 years, opposite the year the full-scale or functional exercise under 	paragraph (d)(2)(i) of this section is conducted, that may include, but is not limited to the following:
		(A) A second full-scale exercise that is community-based or individual, facility-based functional exercise; or
		(B) A mock disaster drill; or
		(C) A tabletop exercise or workshop that is led by a facilitator and includes a group discussion using a narrated, 		clinically-relevant emergency scenario, and a set of problem statements, directed messages, or prepared questions 		designed to challenge an emergency plan.
		(iii) Analyze the [facility's] response to and maintain documentation of all drills, tabletop exercises, and emergency 		events, and revise the [facility's] emergency plan, as needed. 

*[For Hospices at 418.113(d):]  
(2)  Testing for hospices that provide care in the patient's home.  The hospice must conduct exercises to test the emergency plan at least annually.  The hospice must do the following:
	(i)  Participate in a full-scale exercise that is community based every 2 years; or
		(A) When a community based exercise is not accessible, conduct an individual facility based functional exercise 		every 2 years; or  
		(B) If the hospice experiences a natural or man-made emergency that requires activation of the emergency plan, the 		hospital is exempt from engaging in its next required full scale community-based exercise or individual facility-		based functional exercise following the onset of the emergency event.
	(ii)  Conduct an additional exercise every 2 years, opposite the year the full-scale or functional exercise under paragraph (d)	(2)(i) of this section is conducted, that may include, but is not limited to the following:
		(A)  A second full-scale exercise that is community-based or a facility based functional exercise; or
		(B)  A mock disaster drill; or
		(C)  A tabletop exercise or workshop that is led by a facilitator and includes a group discussion using a narrated, 		clinically-relevant emergency scenario, and a set of problem statements, directed messages, or prepared questions 		designed to challenge an emergency plan.

(3) Testing for hospices that provide inpatient care directly.  The hospice must conduct exercises to test the emergency plan twice per year.  The hospice must do the following:
	(i)  Participate in an annual full-scale exercise that is community-based; or 
		(A) When a community-based exercise is not accessible, conduct an annual individual facility-based functional 		exercise; or  
		(B) If the hospice experiences a natural or man-made emergency that requires activation of the emergency plan, the 		hospice is exempt from engaging in its next required full-scale community based or facility-based functional 			exercise following the onset of the emergency event.
	(ii)  Conduct an additional annual exercise that may include, but is not limited to the following:
		(A)  A second full-scale exercise that is community-based or a facility based functional exercise; or
		(B)  A mock disaster drill; or
		(C)  A tabletop exercise or workshop led by a facilitator that includes a group discussion using a narrated, 			clinically-relevant emergency scenario, and a set of problem statements, directed messages, or prepared questions 		designed to challenge an emergency plan.
	(iii)  Analyze the hospice's response to and maintain documentation of all drills, tabletop exercises, and emergency events 	and revise the hospice's emergency plan, as needed.

*[For PRFTs at §441.184(d), Hospitals at §482.15(d), CAHs at §485.625(d):]
(2) Testing. The [PRTF, Hospital, CAH] must conduct exercises to test the emergency plan twice per year.  The [PRTF, Hospital, CAH] must do the following:
	(i)  Participate in an annual full-scale exercise that is community-based; or 
		(A) When a community-based exercise is not accessible, conduct an annual individual, facility-based functional 		exercise; or  
		(B) If the [PRTF, Hospital, CAH]  experiences an actual natural or man-made emergency that requires activation of 		the emergency plan, the [facility] is exempt from engaging in its next required full-scale community based or 			individual, facility-based functional exercise following the onset of the emergency event.
	(ii) Conduct an [additional] annual exercise or and that may include, but is not limited to the following:
 		(A) A second full-scale exercise that is community-based or individual, a facility-based functional exercise; or
		(B) A mock disaster drill; or
		(C) A tabletop exercise or workshop that is led by a facilitator and includes a group discussion, using a narrated, 		clinically-relevant emergency scenario, and a set of problem statements, directed messages, or prepared questions 		designed to challenge an emergency plan.
	(iii) Analyze the [facility's] response to and maintain documentation of all drills, tabletop exercises, and emergency events 	and revise the [facility's] emergency plan, as needed.

*[For LTC Facilities at §483.73(d):] 
(2) The [LTC facility] must conduct exercises to test the emergency plan at least twice per year, including unannounced staff drills using the emergency procedures.  The [LTC facility, ICF/IID] must do the following:
	(i)  Participate in an annual full-scale exercise that is community-based; or
		(A) When a community-based exercise is not accessible, conduct an annual individual, facility-based functional 		exercise. 
		(B) If the [LTC facility] facility experiences an actual natural or man-made emergency that requires activation of the 		emergency plan, the LTC facility is exempt from engaging its next required a full-scale community-based or 			individual, facility-based functional exercise following the onset of the emergency event.
	(ii)  Conduct an additional annual exercise that may include, but is not limited to the following:
		(A)  A second full-scale exercise that is community-based or an individual, facility based functional exercise; or
		(B)  A mock disaster drill; or
		(C)  A tabletop exercise or workshop that is led by a facilitator includes a group discussion, using a narrated, 		clinically-relevant emergency scenario, and a set of problem statements, directed messages, or prepared questions 		designed to challenge an emergency plan.
	(iii)  Analyze the [LTC facility] facility's response to and maintain documentation of all drills, tabletop exercises, and 	emergency events, and revise the [LTC facility] facility's emergency plan, as needed.

*[For ICF/IIDs at §483.475(d)]: 
(2) Testing. The ICF/IID must conduct exercises to test the emergency plan at least twice per year. The ICF/IID must do the following:
	(i) Participate in an annual full-scale exercise that is community-based; or
		(A) When a community-based exercise is not accessible, conduct an annual individual, facility-based functional 		exercise; or.
		(B) If the ICF/IID experiences an actual natural or man-made emergency that requires activation of the emergency 		plan, the ICF/IID is exempt from engaging in its next required full-scale community-based or individual, facility-		based functional exercise following the onset of the emergency event.
	(ii) Conduct an additional annual exercise that may include, but is not limited to the following:
		(A) A second full-scale exercise that is community-based or an individual, facility-based functional exercise; or
		(B) A mock disaster drill; or
		(C) A tabletop exercise or workshop that is led by a facilitator and includes a group discussion, using a narrated, 		clinically-relevant emergency scenario, and a set of problem statements, directed messages, or prepared questions 		designed to challenge an emergency plan.
	(iii) Analyze the ICF/IID's response to and maintain documentation of all drills, tabletop exercises, and emergency events, 	and revise the ICF/IID's emergency plan, as needed.

*[For OPOs at §486.360] 
(d)(2) Testing. The OPO must conduct exercises to test the emergency plan. The OPO must do the following: 
	(i) Conduct a paper-based, tabletop exercise or workshop at least annually. A tabletop exercise is led by a facilitator and 	includes a group discussion, using a narrated, clinically relevant emergency scenario, and a set of problem statements, 	directed messages, or prepared questions designed to challenge an emergency plan. If the OPO experiences an actual 	natural or man-made emergency that requires activation of the emergency plan, the OPO is exempt from engaging in its next 	required testing exercise following the onset of the emergency event.
	(ii) Analyze the OPO's response to and maintain documentation of all tabletop exercises, and emergency events, and revise 	the [RNHCI's and OPO's] emergency plan, as needed."
"EP01","0041","","S","HOSPITAL CAH AND LTC EMERGENCY POWER","(e) Emergency and standby power systems. The hospital must implement emergency and standby power systems based on the emergency plan set forth in paragraph (a) of this section and in the policies and procedures plan set forth in paragraphs (b)(1)(i) and (ii) of this section.

§483.73(e), §485.625(e)   
(e) Emergency and standby power systems. The [LTC facility and the CAH] must implement emergency and standby power systems based on the emergency plan set forth in paragraph (a) of this section.

§482.15(e)(1), §483.73(e)(1), §485.625(e)(1)
Emergency generator location. The generator must be located in accordance with the location requirements found in the Health Care Facilities Code (NFPA 99 and Tentative Interim Amendments TIA 12-2, TIA 12-3, TIA 12-4, TIA 12-5, and TIA 12-6), Life Safety Code (NFPA 101 and Tentative Interim Amendments TIA 12-1, TIA 12-2, TIA 12-3, and TIA 12-4), and NFPA 110, when a new structure is built or when an existing structure or building is renovated. 

482.15(e)(2), §483.73(e)(2), §485.625(e)(2) 
Emergency generator inspection and testing. The [hospital, CAH and LTC facility] must implement the emergency power system inspection, testing, and maintenance requirements found in the Health Care Facilities Code, NFPA 110, and Life Safety Code.

482.15(e)(3), §483.73(e)(3), §485.625(e)(3) 
Emergency generator fuel. [Hospitals, CAHs and LTC facilities] that maintain an onsite fuel source to power emergency generators must have a plan for how it will keep emergency power systems operational during the emergency, unless it evacuates. 

*[For hospitals at §482.15(h), LTC at §483.73(g), and CAHs §485.625(g):] 
The standards incorporated by reference in this section are approved for incorporation by reference by the Director of the Office of the Federal Register in accordance with 5 U.S.C. 552(a) and 1 CFR part 51. You may obtain the material from the sources listed below. You may inspect a copy at the CMS Information Resource Center, 7500 Security Boulevard, Baltimore, MD or at the National Archives and Records Administration (NARA). For information on the availability of this material at NARA, call 202-741-6030, or go to: http://www.archives.gov/federal_register/code_of_federal_regulations/ibr_locations.html. 
If any changes in this edition of the Code are incorporated by reference, CMS will publish a document in the Federal Register to announce the changes.
(1) National Fire Protection Association, 1 Batterymarch Park,
Quincy, MA 02169, www.nfpa.org, 1.617.770.3000.
(i) NFPA 99, Health Care Facilities Code, 2012 edition, issued August 11, 2011.
(ii) Technical interim amendment (TIA) 12-2 to NFPA 99, issued August 11, 2011.
(iii) TIA 12-3 to NFPA 99, issued August 9, 2012.
(iv) TIA 12-4 to NFPA 99, issued March 7, 2013.
(v) TIA 12-5 to NFPA 99, issued August 1, 2013.
(vi) TIA 12-6 to NFPA 99, issued March 3, 2014.
(vii) NFPA 101, Life Safety Code, 2012 edition, issued August 11, 2011.
(viii) TIA 12-1 to NFPA 101, issued August 11, 2011.
(ix) TIA 12-2 to NFPA 101, issued October 30, 2012.
(x) TIA 12-3 to NFPA 101, issued October 22, 2013.
(xi) TIA 12-4 to NFPA 101, issued October 22, 2013.
(xiii) NFPA 110, Standard for Emergency and Standby Power Systems, 2010 edition, including TIAs to chapter 7, issued August 6, 2009."
"EP01","0042","","S","INTEGRATED EP PROGRAM","(e) [or (f)]Integrated healthcare systems.  If a [facility] is part of a healthcare system consisting of multiple separately certified healthcare facilities that elects to have a unified and integrated emergency preparedness program, the [facility] may choose to participate in the healthcare system's coordinated emergency preparedness program.  
If elected, the unified and integrated emergency preparedness program must- [do all of the following:]

(1)  Demonstrate that each separately certified facility within the system actively participated in the development of the unified and integrated emergency preparedness program.
 
(2)  Be developed and maintained in a manner that takes into account each separately certified facility's unique circumstances, patient populations, and services offered.
 
(3)  Demonstrate that each separately certified facility is capable of actively using the unified and integrated emergency preparedness program and is in compliance [with the program].
 
(4)  Include a unified and integrated emergency plan that meets the requirements of paragraphs (a)(2), (3), and (4) of this section.  The unified and integrated emergency plan must also be based on and include the following:

 (i)  A documented community-based risk assessment, utilizing an all-hazards  approach.

 (ii)  A documented individual facility-based risk assessment for each separately certified facility within the health system, utilizing an all-hazards approach.
 
(5)  Include integrated policies and procedures that meet the requirements set forth in paragraph (b) of this section, a coordinated communication plan, and training and testing programs that meet the requirements of paragraphs (c) and (d) of this section, respectively."
"FF08","0165","483.10(f)(1)","R","RIGHT TO VOICE GRIEVANCES WITHOUT REPRISAL","A resident has a right to voice grievances without discrimination or reprisal.  Such grievances include those with respect to treatment which has been furnished as well as that which has not been furnished.

"
"FF08","0225","483.13(c)(1)(ii)-(iii), (c)(2) - (4)","R","INVESTIGATE/REPORT ALLEGATIONS/INDIVIDUALS","The facility must not employ individuals who have been found guilty of abusing, neglecting, or mistreating residents by a court of law; or have had a finding entered into the State nurse aide registry concerning abuse, neglect, mistreatment of residents or misappropriation of their property; and report any knowledge it has of actions by a court of law against an employee, which would indicate unfitness for service as a nurse aide or other facility staff to the State nurse aide registry or licensing authorities.

The facility must ensure that all alleged violations involving mistreatment, neglect, or abuse, including injuries of unknown source and misappropriation of resident property are reported immediately to the administrator of the facility and to other officials in accordance with State law through established procedures (including to the State survey and certification agency).

The facility must have evidence that all alleged violations are thoroughly investigated, and must prevent further potential abuse while the investigation is in progress.

The results of all investigations must be reported to the administrator or his designated representative and to other officials in accordance with State law (including to the State survey and certification agency) within 5 working days of the incident, and if the alleged violation is verified appropriate corrective action must be taken.


"
"FF08","0253","483.15(h)(2)","R","HOUSEKEEPING & MAINTENANCE SERVICES","The facility must provide housekeeping and maintenance services necessary to maintain a sanitary, orderly, and comfortable interior.

"
"FF08","0279","483.20(d), 483.20(k)(1)","R","DEVELOP COMPREHENSIVE CARE PLANS","A facility must use the results of the assessment to develop, review and revise the resident's comprehensive plan of care.

The facility must develop a comprehensive care plan for each resident that includes measurable objectives and timetables to meet a resident's medical, nursing, and mental and psychosocial needs that are identified in the comprehensive assessment.  

The care plan must describe the services that are to be furnished to attain or maintain the resident's highest practicable physical, mental, and psychosocial well-being as required under §483.25; and any services that would otherwise be required under §483.25 but are not provided due to the resident's exercise of rights under §483.10, including the right to refuse treatment under §483.10(b)(4).

"
"FF08","0280","483.20(d)(3), 483.10(k)(2)","R","RIGHT TO PARTICIPATE PLANNING CARE-REVISE CP","The resident has the right, unless adjudged incompetent or otherwise found to be incapacitated under the laws of the State, to participate in planning care and treatment or changes in care and treatment.

A comprehensive care plan must be developed within 7 days after the completion of the comprehensive assessment; prepared by an interdisciplinary team, that includes the attending physician, a registered nurse with responsibility for the resident, and other appropriate staff in disciplines as determined by the resident's needs, and, to the extent practicable, the participation of the resident, the resident's family or the resident's legal representative; and periodically reviewed and revised by a team of qualified persons after each assessment.



"
"FF08","0282","483.20(k)(3)(ii)","R","SERVICES BY QUALIFIED PERSONS/PER CARE PLAN","The services provided or arranged by the facility must be provided by qualified persons in accordance with each resident's written plan of care.

"
"FF08","0311","483.25(a)(2)","R","TREATMENT/SERVICES TO IMPROVE/MAINTAIN ADLS","A resident is given the appropriate treatment and services to maintain or improve his or her abilities specified in paragraph (a)(1) of this section.

"
"FF08","0313","483.25(b)","R","TREATMENT/DEVICES TO MAINTAIN HEARING/VISION","To ensure that residents receive proper treatment and assistive devices to maintain vision and hearing abilities, the facility must, if necessary, assist the resident in making appointments, and by arranging for transportation to and from the office of a practitioner specializing in the treatment of vision or hearing impairment or the office of a professional specializing in the provision of vision or hearing assistive devices.

"
"FF08","0323","483.25(h)","R","FREE OF ACCIDENT HAZARDS/SUPERVISION/DEVICES","The facility must ensure that the resident environment remains as free of accident hazards as is possible; and each resident receives adequate supervision and assistance devices to prevent accidents.



"
"FF09","0154","483.10(b)(3), 483.10(d)(2)","R","INFORMED OF HEALTH STATUS, CARE, & TREATMENTS","The resident has the right to be fully informed in language that he or she can understand of his or her total health status, including but not limited to, his or her medical condition.  

The resident has the right to be fully informed in advance about care and treatment and of any changes in that care or treatment that may affect the resident's well-being.  

"
"FF09","0155","483.10(b)(4)","R","RIGHT TO REFUSE; FORMULATE ADVANCE DIRECTIVES","The resident has the right to refuse treatment, to refuse to participate in experimental research, and to formulate an advance directive as specified in paragraph (8) of this section.

The facility must comply with the requirements specified in subpart I of part 489 of this chapter related to maintaining written policies and procedures regarding advance directives.  These requirements include provisions to inform and provide written information to all adult residents concerning the right to accept or refuse medical or surgical treatment and, at the individual's option, formulate an advance directive.  This includes a written description of the facility's policies to implement advance directives and applicable State law.




"
"FF09","0156","483.10(b)(5) - (10), 483.10(b)(1)","R","NOTICE OF RIGHTS, RULES, SERVICES, CHARGES","The facility must inform the resident both orally and in writing in a language that the resident understands of his or her rights and all rules and regulations governing resident conduct and responsibilities during the stay in the facility.  The facility must also provide the resident with the notice (if any) of the State developed under §1919(e)(6) of the Act.  Such notification must be made prior to or upon admission and during the resident's stay.  Receipt of such information, and any amendments to it, must be acknowledged in writing.

The facility must inform each resident who is entitled to Medicaid benefits, in writing, at the time of admission to the nursing facility or, when the resident becomes eligible for Medicaid of the items and services that are included in nursing facility services under the State plan and for which the resident may not be charged; those other items and services that the facility offers and for which the resident may be charged, and the amount of charges for those services; and inform each resident when changes are made to the items and services specified in paragraphs (5)(i)(A) and (B) of this section.

The facility must inform each resident before, or at the time of admission, and periodically during the resident's stay, of services available in the facility and of charges for those services, including any charges for services not covered under Medicare or by the facility's per diem rate.

The facility must furnish a written description of legal rights which includes:
A description of the manner of protecting personal funds, under paragraph (c) of this section;

A description of the requirements and procedures for establishing eligibility for Medicaid, including the right to request an assessment under section 1924(c) which determines the extent of a couple's non-exempt resources at the time of institutionalization and attributes to the community spouse an equitable share of resources which cannot be considered available for payment toward the cost of the institutionalized spouse's medical care in his or her process of spending down to Medicaid eligibility levels.

A posting of names, addresses, and telephone numbers of all pertinent State client advocacy groups such as the State survey and certification agency, the State licensure office, the State ombudsman program, the protection and advocacy network, and the Medicaid fraud control unit; and a statement that the resident may file a complaint with the State survey and certification agency concerning resident abuse, neglect, and misappropriation of resident property in the facility, and non-compliance with the advance directives requirements.

The facility must inform each resident of the name, specialty, and way of contacting the physician responsible for his or her care.

The facility must prominently display in the facility written information, and provide to residents and applicants for admission oral and written information about how to apply for and use Medicare and Medicaid benefits, and how to receive refunds for previous payments covered by such benefits.


"
"FF09","0157","483.10(b)(11)","R","NOTIFY OF CHANGES (INJURY/DECLINE/ROOM, ETC)","A facility must immediately inform the resident; consult with the resident's physician; and if known, notify the resident's legal representative or an interested family member when there is an accident involving the resident which results in injury and has the potential for requiring physician intervention; a significant change in the resident's physical, mental, or psychosocial status (i.e., a deterioration in health, mental, or psychosocial status in either life threatening conditions or clinical complications); a need to alter treatment significantly (i.e., a need to discontinue an existing form of treatment due to adverse consequences, or to commence a new form of treatment); or a decision to transfer or discharge the resident from the facility as specified in §483.12(a).

The facility must also promptly notify the resident and, if known, the resident's legal representative or interested family member when there is a change in room or roommate assignment as specified in  §483.15(e)(2); or a change in resident rights under Federal or State law or regulations as specified in paragraph  (b)(1) of this section.

The facility must record and periodically update the address and phone number of the resident's legal representative or interested family member.

"
"FF09","0163","483.10(d)(1)","R","RIGHT TO CHOOSE A PERSONAL PHYSICIAN","The resident has the right to choose a personal attending physician.

"
"FF09","0164","483.10(e), 483.75(l)(4)","R","PERSONAL PRIVACY/CONFIDENTIALITY OF RECORDS","The resident has the right to personal privacy and confidentiality of his or her personal and clinical records.

Personal privacy includes accommodations, medical treatment, written and telephone communications, personal care, visits, and meetings of family and resident groups, but this does not require the facility to provide a private room for each resident.

Except as provided in paragraph (e)(3) of this section, the resident may approve or refuse the release of personal and clinical records to any individual outside the facility.

The resident's right to refuse release of personal and clinical records does not apply when the resident is transferred to another health care institution; or record release is required by law.  

The facility must keep confidential all information contained in the resident's records, regardless of the form or storage methods, except when release is required by transfer to another healthcare institution; law; third party payment contract; or the resident.

"
"FF09","0166","483.10(f)(2)","R","RIGHT TO PROMPT EFFORTS TO RESOLVE GRIEVANCES","A resident has the right to prompt efforts by the facility to resolve grievances the resident may have, including those with respect to the behavior of other residents.

"
"FF09","0167","483.10(g)(1)","R","RIGHT TO SURVEY RESULTS - READILY ACCESSIBLE","A resident has the right to examine the results of the most recent survey of the facility conducted by Federal or State surveyors and any plan of correction in effect with respect to the facility.

The facility must make the results available for examination and must post in a place readily accessible to  residents and must post a notice of their availability.


"
"FF09","0204","483.12(a)(7)","R","PREPARATION FOR SAFE/ORDERLY TRANSFER/DISCHRG","A facility must provide sufficient preparation and orientation to residents to ensure safe
and orderly transfer or discharge from the facility.

In the case of facility closure, the individual who is the administrator of the facility must provide written notification prior to the impending closure to the State Survey Agency the State LTC ombudsman, residents of the facility, and the legal representatives of the residents or other responsible parties, as well as the plan for the transfer and adequate relocation of the residents, as required at §483.75(r).
"
"FF09","0221","483.13(a)","R","RIGHT TO BE FREE FROM PHYSICAL RESTRAINTS","The resident has the right to be free from any physical restraints imposed for purposes of discipline or convenience, and not required to treat the resident's medical symptoms.

"
"FF09","0224","483.13(c)","R","PROHIBIT MISTREATMENT/NEGLECT/MISAPPROPRIATN","The facility must develop and implement written policies and procedures that prohibit mistreatment, neglect, and abuse of residents and misappropriation of resident property.




"
"FF09","0225","483.13(c)(1)(ii)-(iii), (c)(2) - (4)","R","INVESTIGATE/REPORT ALLEGATIONS/INDIVIDUALS","The facility must not employ individuals who have been found guilty of abusing, neglecting, or mistreating residents by a court of law; or have had a finding entered into the State nurse aide registry concerning abuse, neglect, mistreatment of residents or misappropriation of their property; and report any knowledge it has of actions by a court of law against an employee, which would indicate unfitness for service as a nurse aide or other facility staff to the State nurse aide registry or licensing authorities.

The facility must ensure that all alleged violations involving mistreatment, neglect, or abuse, including injuries of unknown source and misappropriation of resident property are reported immediately to the administrator of the facility and to other officials in accordance with State law through established procedures (including to the State survey and certification agency).

The facility must have evidence that all alleged violations are thoroughly investigated, and must prevent further potential abuse while the investigation is in progress.

The results of all investigations must be reported to the administrator or his designated representative and to other officials in accordance with State law (including to the State survey and certification agency) within 5 working days of the incident, and if the alleged violation is verified appropriate corrective action must be taken.


"
"FF09","0226","483.13(c)","R","DEVELOP/IMPLMENT ABUSE/NEGLECT, ETC POLICIES","The facility must develop and implement written policies and procedures that prohibit mistreatment, neglect, and abuse of residents and misappropriation of resident property.


"
"FF09","0241","483.15(a)","R","DIGNITY AND RESPECT OF INDIVIDUALITY","The facility must promote care for residents in a manner and in an environment that maintains or enhances each resident's dignity and respect in full recognition of his or her individuality.

"
"FF09","0242","483.15(b)","R","SELF-DETERMINATION - RIGHT TO MAKE CHOICES","The resident has the right to choose activities, schedules, and health care consistent with his or her interests, assessments, and plans of care; interact with members of the community both inside and outside the facility; and make choices about aspects of his or her life in the facility that are significant to the resident.

"
"FF09","0246","483.15(e)(1)","R","REASONABLE ACCOMMODATION OF NEEDS/PREFERENCES","A resident has the right to reside and receive services in the facility with reasonable accommodations of individual needs and preferences, except when the health or safety of the individual or other residents would be endangered.


"
"FF09","0247","483.15(e)(2)","R","RIGHT TO NOTICE BEFORE ROOM/ROOMMATE CHANGE","A resident has the right to receive notice before the resident's room or roommate in the facility is changed.

"
"FF09","0248","483.15(f)(1)","R","ACTIVITIES MEET INTERESTS/NEEDS OF EACH RES","The facility must provide for an ongoing program of activities designed to meet, in accordance with the comprehensive assessment, the interests and the physical, mental, and psychosocial well-being of each resident.

"
"FF09","0250","483.15(g)(1)","R","PROVISION OF MEDICALLY RELATED SOCIAL SERVICE","The facility must provide medically-related social services to attain or maintain the highest practicable physical, mental, and psychosocial well-being of each resident.


"
"FF09","0252","483.15(h)(1)","R","SAFE/CLEAN/COMFORTABLE/HOMELIKE ENVIRONMENT","The facility must provide a safe, clean, comfortable and homelike environment, allowing the resident to use his or her personal belongings to the extent possible.

"
"FF09","0253","483.15(h)(2)","R","HOUSEKEEPING & MAINTENANCE SERVICES","The facility must provide housekeeping and maintenance services necessary to maintain a sanitary, orderly, and comfortable interior.

"
"FF09","0272","483.20(b)(1)","R","COMPREHENSIVE ASSESSMENTS","The facility must conduct initially and periodically a comprehensive, accurate, standardized reproducible assessment of each resident's functional capacity.  

A facility must make a comprehensive assessment of a resident's needs, using the resident assessment instrument (RAI) specified by the State.  The assessment must include at least the following:
Identification and demographic information;
Customary routine;
Cognitive patterns;
Communication;
Vision;
Mood and behavior patterns;
Psychosocial well-being;
Physical functioning and structural problems;
Continence;
Disease diagnosis and health conditions;
Dental and nutritional status;
Skin conditions;
Activity pursuit;
Medications;
Special treatments and procedures;
Discharge potential;
Documentation of summary information regarding the additional assessment performed on the care areas triggered by the completion of the Minimum Data Set (MDS); and
Documentation of participation in assessment.






"
"FF09","0274","483.20(b)(2)(ii)","R","COMPREHENSIVE ASSESS AFTER SIGNIFICANT CHANGE","A facility must conduct a comprehensive assessment of a resident within 14 days after the facility determines, or should have determined, that there has been a significant change in the resident's physical or mental condition.  (For purpose of this section, a significant change means a major decline or improvement in the resident's status that will not normally resolve itself without further intervention by staff or by implementing standard disease-related clinical interventions, that has an impact on more than one area of the resident's health status, and requires interdisciplinary review or revision of the care plan, or both.)

"
"FF09","0278","483.20(g) - (j)","R","ASSESSMENT ACCURACY/COORDINATION/CERTIFIED","The assessment must accurately reflect the resident's status.

A registered nurse must conduct or coordinate each assessment with the appropriate participation of health professionals.

A registered nurse must sign and certify that the assessment is completed.

Each individual who completes a portion of the assessment must sign and certify the accuracy of that portion of the assessment.

Under Medicare and Medicaid, an individual who willfully and knowingly certifies a material and false statement in a resident assessment is subject to a civil money penalty of not more than $1,000 for each assessment; or an individual who willfully and knowingly causes another individual to certify a material and false statement in a resident assessment is subject to a civil money penalty of not more than $5,000 for each assessment.

Clinical disagreement does not constitute a material and false statement.

"
"FF09","0279","483.20(d), 483.20(k)(1)","R","DEVELOP COMPREHENSIVE CARE PLANS","A facility must use the results of the assessment to develop, review and revise the resident's comprehensive plan of care.

The facility must develop a comprehensive care plan for each resident that includes measurable objectives and timetables to meet a resident's medical, nursing, and mental and psychosocial needs that are identified in the comprehensive assessment.  

The care plan must describe the services that are to be furnished to attain or maintain the resident's highest practicable physical, mental, and psychosocial well-being as required under §483.25; and any services that would otherwise be required under §483.25 but are not provided due to the resident's exercise of rights under §483.10, including the right to refuse treatment under §483.10(b)(4).

"
"FF09","0280","483.20(d)(3), 483.10(k)(2)","R","RIGHT TO PARTICIPATE PLANNING CARE-REVISE CP","The resident has the right, unless adjudged incompetent or otherwise found to be incapacitated under the laws of the State, to participate in planning care and treatment or changes in care and treatment.

A comprehensive care plan must be developed within 7 days after the completion of the comprehensive assessment; prepared by an interdisciplinary team, that includes the attending physician, a registered nurse with responsibility for the resident, and other appropriate staff in disciplines as determined by the resident's needs, and, to the extent practicable, the participation of the resident, the resident's family or the resident's legal representative; and periodically reviewed and revised by a team of qualified persons after each assessment.



"
"FF09","0281","483.20(k)(3)(i)","R","SERVICES PROVIDED MEET PROFESSIONAL STANDARDS","The services provided or arranged by the facility must meet professional standards of quality.

"
"FF09","0282","483.20(k)(3)(ii)","R","SERVICES BY QUALIFIED PERSONS/PER CARE PLAN","The services provided or arranged by the facility must be provided by qualified persons in accordance with each resident's written plan of care.

"
"FF09","0284","483.20(l)(3)","R","ANTICIPATE DISCHARGE: POST-DISCHARGE PLAN","When the facility anticipates discharge a resident must have a discharge summary that includes a post-discharge plan of care that is developed with the participation of the resident and his or her family, which will assist the resident to adjust to his or her new living environment.

"
"FF09","0285","483.20(m), 483.20(e)","R","PASRR REQUIREMENTS FOR MI & MR","A facility must coordinate assessments with the pre-admission screening and resident review program under Medicaid in part 483, subpart C to the maximum extent practicable to avoid duplicative testing and effort.

A nursing facility must not admit, on or after January 1, 1989, any new residents with:
  (i) Mental illness as defined in paragraph (m)(2)(i) of this section, unless the State mental health authority has determined, based on an independent physical and mental evaluation performed by a person or entity other than the State mental health authority, prior to admission;
    (A) That, because of the physical and mental condition of the individual, the individual requires the level of services provided by a nursing facility; and
    (B) If the individual requires such level of services, whether the individual requires specialized services for mental retardation.
  (ii) Mental retardation, as defined in paragraph (m)(2)(ii) of this section, unless the State mental retardation or developmental disability authority has determined prior to admission--
    (A) That, because of the physical and mental condition of the individual, the individual requires the level of services provided by a nursing facility; and
    (B) If the individual requires such level of services, whether the individual requires specialized services for mental retardation.

For purposes of this section: 
  (i) An individual is considered to have ""mental illness"" if the individual has a serious mental illness defined at §483.102(b)(1).
  (ii) An individual is considered to be ""mentally retarded"" if the individual is mentally retarded as defined in §483.102(b)(3) or is a person with a related condition as described in 42 CFR 1009.

"
"FF09","0309","483.25","R","PROVIDE CARE/SERVICES FOR HIGHEST WELL BEING","Each resident must receive and the facility must provide the necessary care and services to attain or maintain the highest practicable physical, mental, and psychosocial well-being, in accordance with the comprehensive assessment and plan of care.


"
"FF09","0310","483.25(a)(1)","R","ADLS DO NOT DECLINE UNLESS UNAVOIDABLE","Based on the comprehensive assessment of a resident, the facility must ensure that a resident's abilities in activities of daily living do not diminish unless circumstances of the individual's clinical condition demonstrate that diminution was unavoidable.  This includes the resident's ability to bathe, dress, and groom; transfer and ambulate; toilet; eat; and use speech, language, or other functional communication systems.

"
"FF09","0311","483.25(a)(2)","R","TREATMENT/SERVICES TO IMPROVE/MAINTAIN ADLS","A resident is given the appropriate treatment and services to maintain or improve his or her abilities specified in paragraph (a)(1) of this section.

"
