"FACILITY_ID","SURVEY_DATE","DEFICIENCY CATEGORY","STIP_NUMBER","STIP_DATE","FINE_ASSESSED","FACILITY_NAME","County","STIP_PDF_NAME"
"3089","04/20/2005","Quality of Care","NH_05_052","09/29/2005","$4,000.00","Terence Cardinal Cooke Health Care Center","New York","pfi3089nh_05_052.pdf"
"19","08/18/2004","Quality of Care","NH_05_053","09/30/2005","$1,000.00","St Margarets Center","Albany","pfi19nh_05_053.pdf"
"881","01/30/2004","Quality of Care","NH_05_055","10/27/2005","$1,000.00","Massapequa Center Rehabilitation & Nursing","Suffolk","pfi881nh_05_055.pdf"
"493","02/15/2005","Quality of Care","NH_05_056","10/27/2005","$1,000.00","Glen Cove Center For Nursing And Rehabilitation","Nassau","pfi493nh_05_056.pdf"
"447","12/20/2001","Quality of Care","NH_05_058","11/03/2005","$2,000.00","Blossom South Nursing And Rehabilitation Center","Monroe","pfi447nh_05_058.pdf"
"459",".","Quality of Care","NH_05_057","11/04/2005","$4,000.00","Fairport Baptist Homes","Monroe","pfi459nh_05_057.pdf"
"621","02/17/2005","Quality of Care","NH_05_059","11/16/2005","$1,000.00","Presbyterian Home For Central New York Inc","Oneida","pfi621nh_05_059.pdf"
"169","01/28/2005","Resident Rights","NH_05_061","11/16/2005","$1,000.00","Robinson Terrace","Delaware","pfi169nh_05_061.pdf"
"976","12/01/2004","Quality of Care","NH_05_060","11/21/2005","$1,000.00","River View Rehabilitation And Nursing Care Center","Tioga","pfi976nh_05_060.pdf"
"557",".","Quality of Care","NH_05_062","11/28/2005","$3,000.00","Parkview Care And Rehabilitation Center, Inc","Nassau","pfi557nh_05_062.pdf"
"538","06/17/2003","Multiple Deficiencies","NH_05_068","12/09/2005","$2,000.00","Garden Care Center","Nassau","pfi538nh_05_068.pdf"
"1008","03/03/2005","Quality of Care","NH_05_070","12/15/2005","$1,000.00","Warren Center For Rehabilitation And Nursing","Warren","pfi1008nh_05_070.pdf"
"6250","03/25/2002","Quality of Care","NH_06_001","12/29/2005","$2,000.00","Adira At Riverside Rehabilitation And Nursing","Westchester","pfi6250nh_06_001.pdf"
"1068","12/19/2003","Quality of Care","NH_06_002","01/23/2006","$6,000.00","The Wartburg Home","Westchester","pfi1068nh_06_002.pdf"
"1404",".","Quality of Care","NH_06_003","01/26/2006","$2,000.00","Concord Nursing And Rehabilitation Center","Kings","pfi1404nh_06_003.pdf"
"3422","03/15/2005","Quality of Care","NH_06_004","01/30/2006","$1,000.00","St Catherine Of Siena Nrsg And Rehab Care Center","Suffolk","pfi3422nh_06_004.pdf"
"1170","12/07/2001","Quality of Care","NH_06_005","02/11/2006","$1,000.00","Loeb Ctr Montefiore Medical Ce","Bronx","pfi1170nh_06_005.pdf"
"1603","10/30/2003","Resident Rights","NH_06_006","03/03/2006","$2,500.00","The New Jewish Home, Manhattan","New York","pfi1603nh_06_006.pdf"
"1711",".","Multiple Deficiencies","NH_06_007","04/03/2006","$15,000.00","Highland Care Center","Queens","pfi1711nh_06_007.pdf"
"1679","01/11/2005","Quality of Care","NH_06_009","04/07/2006","$4,000.00","Far Rockaway Center For Rehabilitation And Nursing","Queens","pfi1679nh_06_009.pdf"
"919",".","Quality of Care","NH_06_011","04/19/2006","$5,000.00","Apex Rehabilitation & Care Center","Suffolk","pfi919nh_06_011.pdf"
"941","09/16/2004","Quality of Care","NH_06_010","04/21/2006","$2,000.00","Acadia Center For Nursing And Rehabilitation","Suffolk","pfi941nh_06_010.pdf"
"64",".","Quality of Care","NH_06_012","04/28/2006","$1,500.00","Willow Point Rehabilitation And Nursing Center","Broome","pfi64nh_06_012.pdf"
"7268","04/14/2005","Quality of Care","NH_06_013","05/09/2006","$2,000.00","Evergreen Commons Rehabilitation And Nursing Ctr","Rensselaer","pfi7268nh_06_013.pdf"
"1378","06/16/2005","Quality of Care","NH_06_014","06/08/2006","$1,000.00","Williamsville Suburban, L L C","Erie","pfi1378nh_06_014.pdf"
"169","03/25/2005","Quality of Care","NH_06_016","06/16/2006","$1,000.00","Robinson Terrace","Delaware","pfi169nh_06_016.pdf"
"1400","10/08/2003","Resident Rights","NH_06_018","06/16/2006","$2,000.00","Spring Creek Rehabilitation & Nursing Care Center","Kings","pfi1400nh_06_018.pdf"
"92","03/17/2005","Multiple Deficiencies","NH_06_015","06/20/2006","$4,000.00","The Commons On St Anthony, A S N F & Short T R C","Cayuga","pfi92nh_06_015.pdf"
"853","10/03/2005","Quality of Care","NH_06_017","06/23/2006","$1,000.00","Eden Park Health Care Centre Inc - Cobleskill","Schoharie","pfi853nh_06_017.pdf"
"843","07/21/2005","Resident Rights","NH_06_019","07/11/2006","$1,000.00","Baptist Health Nursing And Rehabilitation Center","Schenectady","pfi843nh_06_019.pdf"
"92",".","Quality of Care","NH_06_020","07/11/2006","$3,000.00","The Commons On St Anthony, A S N F & Short T R C","Cayuga","pfi92nh_06_020.pdf"
"4216","10/20/2005","Quality of Care","NH_06_021","07/26/2006","$2,000.00","St Francis Of Buffalo","Erie","pfi4216nh_06_021.pdf"
"329","04/28/2005","Quality of Care","NH_06_023","07/31/2006","$1,000.00","Franklin County Nursing Home","Franklin","pfi329nh_06_023.pdf"
"329",".","Multiple Deficiencies","NH_06_024","07/31/2006","$6,000.00","Franklin County Nursing Home","Franklin","pfi329nh_06_024.pdf"
"5670","05/29/2002","Quality of Care","NH_06_026","08/28/2006","$2,000.00","Schervier Pavilion","Orange","pfi5670nh_06_026.pdf"
"284","04/01/2005","Quality of Care","NH_06_025","09/01/2006","$1,000.00","Absolut Ctr For Nursing & Rehab Orchard Park L L C","Erie","pfi284nh_06_025.pdf"
"595","04/06/2005","Quality of Care","NH_06_027","09/19/2006","$1,000.00","Betsy Ross Rehabilitation Center, Inc","Oneida","pfi595nh_06_027.pdf"
"1120","08/24/2005","Quality of Care","NH_06_022","10/10/2006","$2,000.00","Sky View Rehabilitation & Health Care Center L L C","Westchester","pfi1120nh_06_022.pdf"
"186","05/17/2002","Quality of Care","NH_06_028","10/10/2006","$3,000.00","The Pines At Poughkeepsie Ctr For Nursing & Rehab","Dutchess","pfi186nh_06_028.pdf"
"4799","07/13/2005","Quality of Care","NH_06_030","10/23/2006","$500.00","Guthrie Cortland Medical Center","Cortland","pfi4799nh_06_030.pdf"
"437",".","Quality of Care","NH_06_031","10/23/2006","$4,000.00","The Shore Winds, L L C","Monroe","pfi437nh_06_031.pdf"
"871","01/11/2006","Quality of Care","NH_06_032","10/23/2006","$2,000.00","Hornell Gardens, L L C","Steuben","pfi871nh_06_032.pdf"
"6037","12/08/2000","Resident Rights","NH_06_033","10/23/2006","$2,000.00","Union Plaza Care Center","Queens","pfi6037nh_06_033.pdf"
"131",".","Quality of Care","NH_06_029","10/28/2006","$5,000.00","Valley View Manor Nursing Home","Chenango","pfi131nh_06_029.pdf"
"201","06/03/2002","Quality of Care","NH_06_034","10/31/2006","$2,000.00","Fishkill Center For Rehabilitation And Nursing","Dutchess","pfi201nh_06_034.pdf"
"1316","04/06/2002","Multiple Deficiencies","NH_06_035","11/07/2006","$4,000.00","Rutland Nursing Home, Inc","Kings","pfi1316nh_06_035.pdf"
"144","04/28/2000","Resident Rights","NH_06_036","11/20/2006","$1,000.00","Clinton County Nursing Home","Clinton","pfi144nh_06_036.pdf"
"973","08/18/2005","Quality of Care","NH_06_037","11/20/2006","$2,000.00","Elderwood At Waverly","Tioga","pfi973nh_06_037.pdf"
"462","10/18/2002","Quality of Care","NH_06_038","11/20/2006","$1,000.00","Maplewood Nursing Home Inc","Monroe","pfi462nh_06_038.pdf"
"3630",".","Quality of Care","NH_06_040","11/20/2006","$6,000.00","Yorktown Rehabilitation & Nursing Center","Westchester","pfi3630nh_06_040.pdf"
"608",".","Quality of Care","NH_06_039","11/24/2006","$2,000.00","The Pines At Utica Center For Nursing And Rehab","Oneida","pfi608nh_06_039.pdf"
"813","04/12/2002","Quality of Care","NH_06_043","11/28/2006","$2,000.00","Kinney Nursing Home","Saint Lawrence","pfi813nh_06_043.pdf"
"813","06/29/2005","Quality of Care","NH_06_044","11/28/2006","$1,000.00","Kinney Nursing Home","Saint Lawrence","pfi813nh_06_044.pdf"
"871",".","Multiple Deficiencies","NH_06_041","12/01/2006","$2,000.00","Hornell Gardens, L L C","Steuben","pfi871nh_06_041.pdf"
"813","05/03/2001","Quality of Care","NH_06_042","12/01/2006","$1,000.00","Kinney Nursing Home","Saint Lawrence","pfi813nh_06_042.pdf"
"21","10/10/2003","Multiple Deficiencies","NH_06_045","12/06/2006","$6,000.00","Hudson Park Rehabilitation And Nursing Center","Albany","pfi21nh_06_045.pdf"
"282","08/29/2002","Quality of Care","NH_06_046","12/06/2006","$1,000.00","Fiddlers Green Manor Rehab And Nursing Center","Erie","pfi282nh_06_046.pdf"
"282","01/29/2004","Quality of Care","NH_06_047","12/06/2006","$1,000.00","Fiddlers Green Manor Rehab And Nursing Center","Erie","pfi282nh_06_047.pdf"
"448","01/14/2005","Quality of Care","NH_06_048","12/08/2006","$2,000.00","The Pearl Nursing Center Of Rochester","Monroe","pfi448nh_06_048.pdf"
"160","10/01/2001","Multiple Deficiencies","NH_06_049","12/08/2006","$2,000.00","Cortland Park Rehabilitation And Nursing Center","Cortland","pfi160nh_06_049.pdf"
"3012","09/10/2001","Resident Rights","NH_06_050","12/08/2006","$2,000.00","Buffalo Center For Rehabilitation And Nursing","Erie","pfi3012nh_06_050.pdf"
"21","11/05/2001","Quality of Care","NH_06_051","12/08/2006","$4,000.00","Hudson Park Rehabilitation And Nursing Center","Albany","pfi21nh_06_051.pdf"
"731",".","Quality of Care","NH_06_052","12/08/2006","$5,000.00","Morningstar Residential Care Center","Oswego","pfi731nh_06_052.pdf"
"677",".","Quality of Care","NH_06_053","12/21/2006","$1,500.00","Clifton Springs Hospital And Clinic Extended Care","Ontario","pfi677nh_06_053.pdf"
"160","12/29/2005","Quality of Care","NH_06_054","12/21/2006","$1,500.00","Cortland Park Rehabilitation And Nursing Center","Cortland","pfi160nh_06_054.pdf"
"465","08/17/2006","Quality of Care","NH_06_055","12/27/2006","$1,000.00","The Hurlbut","Monroe","pfi465nh_06_055.pdf"
"488","06/08/2006","Quality of Care","NH_07_001","12/27/2006","$2,000.00","Capstone Center For Rehabilitation And Nursing","Montgomery","pfi488nh_07_001.pdf"
"5538",".","Quality of Care","NH_07_002","12/27/2006","$1,500.00","The Highlands At Brighton","Monroe","pfi5538nh_07_002.pdf"
"447","05/03/2005","Quality of Care","NH_07_003","12/27/2006","$1,000.00","Blossom South Nursing And Rehabilitation Center","Monroe","pfi447nh_07_003.pdf"
"962",".","Quality of Care","NH_06_056","01/04/2007","$4,000.00","Achieve Rehab And Nursing Facility","Sullivan","pfi962nh_06_056.pdf"
"1008","02/10/2006","Quality of Care","NH_07_004","01/04/2007","$1,000.00","Warren Center For Rehabilitation And Nursing","Warren","pfi1008nh_07_004.pdf"
"370",".","Quality of Care","NH_07_006","01/09/2007","$8,000.00","Mercy Of Northern New York","Jefferson","pfi370nh_07_006.pdf"
"3012",".","Quality of Care","NH_07_005","01/13/2007","$8,500.00","Buffalo Center For Rehabilitation And Nursing","Erie","pfi3012nh_07_005.pdf"
"654","03/16/2006","Quality of Care","NH_07_007","01/30/2007","$1,000.00","Central Park Rehabilitation And Nursing Center","Onondaga","pfi654nh_07_007.pdf"
"7758","02/17/2006","Resident Rights","NH_07_014","02/07/2007","$1,000.00","Northeast Center For Special Care (closed)","Ulster","pfi7758nh_07_014.pdf"
"64","03/06/2006","Multiple Deficiencies","NH_07_015","02/07/2007","$4,000.00","Willow Point Rehabilitation And Nursing Center","Broome","pfi64nh_07_015.pdf"
"60","09/25/2006","Quality of Care","NH_07_008","02/13/2007","$1,500.00","Susquehanna Nursing & Rehabilitation Center, L L C","Broome","pfi60nh_07_008.pdf"
"3989",".","Quality of Care","NH_07_009","02/13/2007","$2,000.00","Gurwin Jewish Nursing And Rehabilitation Center","Suffolk","pfi3989nh_07_009.pdf"
"152","01/02/2002","Quality of Care","NH_07_010","02/13/2007","$1,000.00","Pine Haven Home","Columbia","pfi152nh_07_010.pdf"
"3423","03/31/2006","Quality of Care","NH_07_011","02/13/2007","$1,000.00","Bellhaven Center For Rehab And Nursing Care","Suffolk","pfi3423nh_07_011.pdf"
"843","08/04/2006","Quality of Care","NH_07_013","02/13/2007","$2,000.00","Baptist Health Nursing And Rehabilitation Center","Schenectady","pfi843nh_07_013.pdf"
"1693","05/09/2006","Quality of Care","NH_07_012","02/16/2007","$1,000.00","Rego Park Nursing Home","Queens","pfi1693nh_07_012.pdf"
"139","09/18/2006","Quality of Care","NH_07_026","02/16/2007","$6,000.00","Plattsburgh Rehabilitation And Nursing Center","Clinton","pfi139nh_07_026.pdf"
"801","08/30/2006","Quality of Care","NH_07_016","03/06/2007","$3,000.00","United Helpers Cedars Nursing","Saint Lawrence","pfi801nh_07_016.pdf"
"1712","02/27/2006","Quality of Care","NH_07_017","03/19/2007","$2,000.00","Holliswood Ctr For Rehabilitation And Healthcare","Queens","pfi1712nh_07_017.pdf"
"1223","12/15/2005","Quality of Care","NH_07_018","03/19/2007","$6,000.00","Rebekah Rehab And Extended Care Center","Bronx","pfi1223nh_07_018.pdf"
"278","03/10/2006","Multiple Deficiencies","NH_07_019","03/19/2007","$7,000.00","Absolut Ctr For Nursing & Rehab Aurora Park L L C","Erie","pfi278nh_07_019.pdf"
"1216",".","Quality of Care","NH_07_020","03/19/2007","$3,000.00","Providence Rest Inc","Bronx","pfi1216nh_07_020.pdf"
"1374",".","Quality of Care","NH_07_021","03/19/2007","$2,500.00","Norwegian Christian Home And Health Center","Kings","pfi1374nh_07_021.pdf"
"1672","12/28/2005","Quality of Care","NH_07_022","03/19/2007","$2,000.00","Peninsula Nursing And Rehabilitation Center","Queens","pfi1672nh_07_022.pdf"
"3422","04/10/2006","Quality of Care","NH_07_023","03/19/2007","$1,000.00","St Catherine Of Siena Nrsg And Rehab Care Center","Suffolk","pfi3422nh_07_023.pdf"
"1243","12/05/2005","Quality of Care","NH_07_024","03/19/2007","$6,000.00","Split Rock Rehabilition And Health Care Center","Bronx","pfi1243nh_07_024.pdf"
"1658","05/18/2006","Quality of Care","NH_07_025","03/19/2007","$1,000.00","Absolut Ctr For Nursing & Rehab Three Rivers L L C","Steuben","pfi1658nh_07_025.pdf"
"448","09/13/2006","Quality of Care","NH_07_027","03/19/2007","$1,000.00","The Pearl Nursing Center Of Rochester","Monroe","pfi448nh_07_027.pdf"
"278","08/25/2006","Quality of Care","NH_07_028","03/19/2007","$1,000.00","Absolut Ctr For Nursing & Rehab Aurora Park L L C","Erie","pfi278nh_07_028.pdf"
"810","09/27/2006","Quality of Care","NH_07_037","03/20/2007","$1,000.00","United Helpers Canton Nursing Home","Saint Lawrence","pfi810nh_07_037.pdf"
"533",".","Quality of Care","NH_07_029","04/03/2007","$2,000.00","Belair Care Center Inc","Nassau","pfi533nh_07_029.pdf"
"1748",".","Multiple Deficiencies","NH_07_030","04/03/2007","$7,000.00","Eger Health Care And Rehabilitation Center","Richmond","pfi1748nh_07_030.pdf"
"800","08/03/2006","Quality of Care","NH_07_031","04/03/2007","$1,000.00","St Josephs Home","Saint Lawrence","pfi800nh_07_031.pdf"
"648","07/07/2006","Quality of Care","NH_07_035","04/03/2007","$2,000.00","Loretto Health And Rehabilitation Center","Onondaga","pfi648nh_07_035.pdf"
"1604","02/08/2006","Quality of Care","NH_07_032","04/08/2007","$1,000.00","Harlem Ctr For Nursing And Rehabilitation, L L C","New York","pfi1604nh_07_032.pdf"
"1087","08/04/1999","Quality of Care","NH_07_033","04/16/2007","$500.00","Cedar Manor Nursing & Rehabilitation Center","Westchester","pfi1087nh_07_033.pdf"
"976","04/12/2006","Quality of Care","NH_07_036","04/16/2007","$1,000.00","River View Rehabilitation And Nursing Care Center","Tioga","pfi976nh_07_036.pdf"
"3053","03/15/2006","Quality of Care","NH_07_037","04/16/2007","$3,000.00","Onondaga Center For Rehabilitation And Nursing","Onondaga","pfi3053nh_07_037.pdf"
"1103","11/17/2005","Quality of Care","NH_07_038","04/18/2007","$2,000.00","Regency Extended Care Center","Westchester","pfi1103nh_07_038.pdf"
"1739","05/04/2005","Quality of Care","NH_07_039","05/01/2007","$2,000.00","Terrace View Long Term Care Facility","Erie","pfi1739nh_07_039.pdf"
"4551","09/02/2006","Multiple Deficiencies","NH_07_040","05/01/2007","$2,500.00","Ghent Rehabilitation & Nursing Center","Columbia","pfi4551nh_07_040.pdf"
"774",".","Multiple Deficiencies","NH_07_041","05/29/2007","$3,500.00","Northern Riverview Health Care, Inc","Rockland","pfi774nh_07_041.pdf"
"1709","02/26/2004","Quality of Care","NH_07_042","05/29/2007","$1,000.00","Cypress Garden Center For Nursing And Rehab","Queens","pfi1709nh_07_042.pdf"
"30","05/28/2006","Quality of Care","NH_07_043","05/29/2007","$2,000.00","Shaker Place Rehabilitation And Nursing Center","Albany","pfi30nh_07_043.pdf"
"497",".","Quality of Care","NH_07_044","05/29/2007","$2,000.00","Grandell Rehabilitation And Nursing Center","Nassau","pfi497nh_07_044.pdf"
"1700","04/27/2006","Multiple Deficiencies","NH_07_045","05/29/2007","$1,500.00","Woodcrest Rehab & Residential H C Center, L L C","Queens","pfi1700nh_07_045.pdf"
"384","11/17/2006","Multiple Deficiencies","NH_07_049","06/12/2007","$4,000.00","Lewis County General Hospital-nursing Home Unit","Lewis","pfi384nh_07_049.pdf"
"1688",".","Quality of Care","NH_07_050","06/12/2007","$2,000.00","Oceanview Nursing & Rehabilitation Care Center","Queens","pfi1688nh_07_050.pdf"
"564","12/02/2005","Other Services","NH_07_046","06/13/2007","$2,000.00","The Grand Rehabilitation And Nursing At South Poin","Nassau","pfi564nh_07_046.pdf"
"3012","04/19/2006","Quality of Care","NH_07_051","06/14/2007","$3,000.00","Buffalo Center For Rehabilitation And Nursing","Erie","pfi3012nh_07_051.pdf"
"725","01/06/2006","Quality of Care","NH_07_052","06/14/2007","$3,000.00","Michaud Residential Health Services Inc","Oswego","pfi725nh_07_052.pdf"
"360","02/26/2007","Quality of Care","NH_07_057","06/21/2007","$2,000.00","Foltsbrook Center For Nursing And Rehabilitation","Herkimer","pfi360nh_07_057.pdf"
"595","09/21/2006","Quality of Care","NH_07_047","06/25/2007","$1,000.00","Betsy Ross Rehabilitation Center, Inc","Oneida","pfi595nh_07_047.pdf"
"805",".","Multiple Deficiencies","NH_07_054","06/29/2007","$3,000.00","Highland Nursing Home Inc","Saint Lawrence","pfi805nh_07_054.pdf"
"1081","05/17/2001","Multiple Deficiencies","NH_07_055","06/29/2007","$6,500.00","Schaffer Extended Care Center","Westchester","pfi1081nh_07_055.pdf"
"1219","10/11/2005","Multiple Deficiencies","NH_07_056","06/29/2007","$4,000.00","Workmens Circle Multicare Center","Bronx","pfi1219nh_07_056.pdf"
"853",".","Quality of Care","NH_07_060","07/05/2007","$5,000.00","Eden Park Health Care Centre Inc - Cobleskill","Schoharie","pfi853nh_07_060.pdf"
"846","03/01/2007","Quality of Care","NH_07_065","07/11/2007","$2,000.00","Glendale Home-schdy Cnty Dept Social Services","Schenectady","pfi846nh_07_065.pdf"
"557","03/01/2007","Quality of Care","NH_07_059","07/24/2007","$3,000.00","Parkview Care And Rehabilitation Center, Inc","Nassau","pfi557nh_07_059.pdf"
"912","08/25/2006","Quality of Care","NH_07_053","08/01/2007","$4,000.00","Quantum Rehabilitation And Nursing L L C","Suffolk","pfi912nh_07_053.pdf"
"1680","08/09/2001","Multiple Deficiencies","NH_07_058","08/01/2007","$2,000.00","Sapphire Ctr For Rehab & Nrsg Of Ctrl Queens","Queens","pfi1680nh_07_058.pdf"
"96","03/02/2007","Multiple Deficiencies","NH_07_061","08/01/2007","$2,000.00","Northwoods Rehab And Nursing Center At Moravia","Cayuga","pfi96nh_07_061.pdf"
"3089","02/21/2007","Multiple Deficiencies","NH_07_062","08/01/2007","$3,000.00","Terence Cardinal Cooke Health Care Center","New York","pfi3089nh_07_062.pdf"
"1148","03/14/2006","Quality of Care","NH_07_066","08/01/2007","$2,000.00","The Paramount At Somers Rehab And Nursing Center","Westchester","pfi1148nh_07_066.pdf"
"761","03/23/2006","Multiple Deficiencies","NH_07_064","08/02/2007","$3,000.00","Van Rensselaer Manor","Rensselaer","pfi761nh_07_064.pdf"
"618","01/05/2007","Quality of Care","NH_07_063","08/12/2007","$1,000.00","Waterville Residential Care Center","Oneida","pfi618nh_07_063.pdf"
"1080","11/29/2006","Quality of Care","NH_07_069","08/20/2007","$2,000.00","Sutton Park Center For Nursing And Rehabilitation","Westchester","pfi1080nh_07_069.pdf"
"7298","06/22/2006","Multiple Deficiencies","NH_07_068","08/28/2007","$6,000.00","The Pavilion At Queens For Rehabilitation & Nrsing","Queens","pfi7298nh_07_068.pdf"
"3423","02/09/2007","Quality of Care","NH_07_070","08/30/2007","$1,000.00","Bellhaven Center For Rehab And Nursing Care","Suffolk","pfi3423nh_07_070.pdf"
"1219","02/08/2007","Multiple Deficiencies","NH_07_072","08/30/2007","$2,000.00","Workmens Circle Multicare Center","Bronx","pfi1219nh_07_072.pdf"
"735","03/15/2007","Quality of Care","NH_07_071","09/11/2007","$2,000.00","St Luke Residential Health Care Facility Inc","Oswego","pfi735nh_07_071.pdf"
"4037","03/09/2007","Quality of Care","NH_07_073","09/11/2007","$1,000.00","Bushwick Center For Rehabilitation And Health Care","Kings","pfi4037nh_07_073.pdf"
"509",".","Quality of Care","NH_07_075","09/11/2007","$3,000.00","Mayfair Care Center","Nassau","pfi509nh_07_075.pdf"
"1365","03/09/2007","Multiple Deficiencies","NH_07_076","09/11/2007","$1,000.00","Wartburg Nursing Home Inc","Kings","pfi1365nh_07_076.pdf"
"517",".","Multiple Deficiencies","NH_07_074","09/17/2007","$7,500.00","Rockville Skilled Nursing & Rehab Center, L L C","Nassau","pfi517nh_07_074.pdf"
"4148","05/07/2007","Multiple Deficiencies","NH_07_077","10/02/2007","$4,000.00","Ellis Residential & Rehabilitation Center","Schenectady","pfi4148nh_07_077.pdf"
"140","10/31/2002","Quality of Care","NH_07_083","10/19/2007","$5,000.00","Meadowbrook Healthcare","Clinton","pfi140nh_07_083.pdf"
"557","02/28/2001","Other Services","NH_07_078","10/23/2007","$2,000.00","Parkview Care And Rehabilitation Center, Inc","Nassau","pfi557nh_07_078.pdf"
"1251","04/27/2007","Quality of Care","NH_07_079","10/23/2007","$2,000.00","Bronx Center For Rehabilitation & Health Care","Bronx","pfi1251nh_07_079.pdf"
"520","04/10/2007","Quality of Care","NH_07_080","10/23/2007","$1,000.00","Lynbrook Restorative Therapy And Nursing","Nassau","pfi520nh_07_080.pdf"
"3401","04/06/2007","Multiple Deficiencies","NH_07_084","10/23/2007","$7,000.00","Beach Gardens Rehab And Nursing Center","Queens","pfi3401nh_07_084.pdf"
"474","05/21/2007","Quality of Care","NH_07_081","10/27/2007","$1,000.00","Park Ridge Nursing Home","Monroe","pfi474nh_07_081.pdf"
"4501","05/10/2007","Quality of Care","NH_07_086","11/19/2007","$2,000.00","Bronxcare Special Care Center","Bronx","pfi4501nh_07_086.pdf"
"1407","05/18/2006","Resident Rights","NH_07_087","11/19/2007","$4,000.00","Crown Heights Center For Nursing And Rehab","Kings","pfi1407nh_07_087.pdf"
"1574","08/15/2002","Quality of Care","NH_07_088","11/19/2007","$1,000.00","Bialystoker Center For Nursing And Rehabilitation","New York","pfi1574nh_07_088.pdf"
"859","05/11/2007","Quality of Care","NH_07_089","11/19/2007","$2,000.00","Schuyler Hospital Inc & Long Term Care Unit","Schuyler","pfi859nh_07_089.pdf"
"4551","06/30/2007","Quality of Care","NH_07_090","11/19/2007","$2,000.00","Ghent Rehabilitation & Nursing Center","Columbia","pfi4551nh_07_090.pdf"
"156","06/07/2007","Quality of Care","NH_07_091","11/19/2007","$5,000.00","Livingston Hills Nursing And Rehabilitation Center","Columbia","pfi156nh_07_091.pdf"
"604","05/21/2007","Quality of Care","NH_07_092","11/19/2007","$2,000.00","Katherine Luther Residential Hlth Care & Rehab","Oneida","pfi604nh_07_092.pdf"
"537","05/03/2007","Quality of Care","NH_07_093","11/19/2007","$1,000.00","Oceanside Care Center Inc","Nassau","pfi537nh_07_093.pdf"
"71","03/09/2007","Quality of Care","NH_07_094","11/19/2007","$2,000.00","The Pines Healthcare & Rehab Centers Olean Campus","Cattaraugus","pfi71nh_07_094.pdf"
"538","05/22/2007","Quality of Care","NH_07_082","11/23/2007","$4,000.00","Garden Care Center","Nassau","pfi538nh_07_082.pdf"
"595","05/01/2007","Multiple Deficiencies","NH_07_085","11/27/2007","$13,000.00","Betsy Ross Rehabilitation Center, Inc","Oneida","pfi595nh_07_085.pdf"
"1673",".","Quality of Care","NH_07_095","12/14/2007","$4,000.00","Bridge View Nursing Home","Queens","pfi1673nh_07_095.pdf"
"584",".","Quality of Care","NH_08_001","01/03/2008","$7,000.00","Fairchild Manor Nursing Home","Niagara","pfi584nh_08_001.pdf"
"7278",".","Quality of Care","NH_08_002","01/03/2008","$2,000.00","Bethel Nursing & Rehabilitation Center","Westchester","pfi7278nh_08_002.pdf"
"171","03/20/2007","Quality of Care","NH_08_003","01/03/2008","$2,000.00","Mountainside Residential Care Center","Delaware","pfi171nh_08_003.pdf"
"488","08/10/2007","Quality of Care","NH_08_008","01/03/2008","$7,000.00","Capstone Center For Rehabilitation And Nursing","Montgomery","pfi488nh_08_008.pdf"
"1679","07/28/2005","Quality of Care","NH_08_004","01/08/2008","$4,000.00","Far Rockaway Center For Rehabilitation And Nursing","Queens","pfi1679nh_08_004.pdf"
"4037","06/04/2007","Quality of Care","NH_08_005","01/08/2008","$3,000.00","Bushwick Center For Rehabilitation And Health Care","Kings","pfi4037nh_08_005.pdf"
"398","07/02/2007","Quality of Care","NH_08_006","01/08/2008","$4,000.00","Oneida Health Rehabilitation And Extended Care","Madison","pfi398nh_08_006.pdf"
"1604","08/08/2006","Quality of Care","NH_08_007","01/08/2008","$6,000.00","Harlem Ctr For Nursing And Rehabilitation, L L C","New York","pfi1604nh_08_007.pdf"
"633",".","Quality of Care","NH_08_009","02/13/2008","$10,000.00","Buffalo Community Healthcare Center","Erie","pfi633nh_08_009.pdf"
"1736",".","Quality of Care","NH_08_010","02/20/2008","$8,000.00","Beacon Rehabilitation And Nursing Center","Queens","pfi1736nh_08_010.pdf"
"1128","09/11/2006","Resident Rights","NH_08_017","02/22/2008","$8,000.00","Briarcliff Manor Center For Rehab And Nursing Care","Westchester","pfi1128nh_08_017.pdf"
"246","01/18/2006","Multiple Deficiencies","NH_08_014","02/24/2008","$8,000.00","Grace Manor Health Care Facility","Erie","pfi246nh_08_014.pdf"
"579","05/26/2006","Quality of Care","NH_08_012","02/26/2008","$2,000.00","Schoellkopf Health Center","Niagara","pfi579nh_08_012.pdf"
"1255",".","Quality of Care","NH_08_013","02/26/2008","$10,000.00","Bethany Nursing Home & Health Related Facility Inc","Chemung","pfi1255nh_08_013.pdf"
"1582","05/06/2008","Quality of Care","NH_08_015","02/26/2008","$1,000.00","Upper East Side Rehabilitation And Nursing Center","New York","pfi1582nh_08_015.pdf"
"1700","06/06/2007","Quality of Care","NH_08_018","02/26/2008","$2,000.00","Woodcrest Rehab & Residential H C Center, L L C","Queens","pfi1700nh_08_018.pdf"
"274","03/23/2007","Quality of Care","NH_08_019","02/26/2008","$1,000.00","Comprehensive Rehab & Nursing Ctr At Williamsville","Erie","pfi274nh_08_019.pdf"
"1154","02/01/2007","Quality of Care","NH_08_020","02/26/2008","$2,000.00","Wyoming County Community Hospital S N F","Wyoming","pfi1154nh_08_020.pdf"
"1227",".","Quality of Care","NH_08_011","03/05/2008","$8,000.00","Bainbridge Nursing & Rehabilitation Center","Bronx","pfi1227nh_08_011.pdf"
