Week Ending,Federal Provider Number,Provider Name,Submitted Data,Residents Weekly Admissions COVID-19,Residents Total Admissions COVID-19,Residents Weekly Confirmed COVID-19,Residents Total Confirmed COVID-19,Residents Weekly All Deaths,Residents Weekly COVID-19 Deaths,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,Staff Weekly Confirmed COVID-19,Staff Total Confirmed COVID-19,Staff Weekly COVID-19 Deaths,Staff Total COVID-19 Deaths,Shortage of Nursing Staff,Shortage of Clinical Staff,Shortage of Aides,Shortage of Other Staff,One-Week Supply of N95 Masks,One-Week Supply of Surgical Masks,One-Week Supply of Eye Protection,One-Week Supply of Gowns,One-Week Supply of Gloves,One-Week Supply of Hand Sanitizer,Ventilator Dependent Unit,Number of Ventilators in Facility,Number of Ventilators in Use for COVID-19,One-Week Supply of Ventilator Supplies,"Total Resident Confirmed COVID-19 Cases Per 1,000 Residents","Total Resident COVID-19 Deaths Per 1,000 Residents",Total Residents COVID-19 Deaths as a Percentage of Confirmed COVID-19 Cases,County
10/11/20,335127,ALICE HYDE MEDICAL CENTER,Y,0,0,0,0,1,0,0,135,125,0,1,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,0,0,,Franklin
10/18/20,335127,ALICE HYDE MEDICAL CENTER,Y,0,0,0,0,1,0,0,135,127,0,1,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,0,0,,Franklin
10/25/20,335127,ALICE HYDE MEDICAL CENTER,Y,0,0,0,0,0,0,0,135,127,0,1,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,0,0,,Franklin
5/24/20,335128,ST PETERS NURSING AND REHABILITATION CENTER,Y,1,1,28,28,4,3,3,160,122,20,20,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,229.5,24.6,10.7,Albany
5/31/20,335128,ST PETERS NURSING AND REHABILITATION CENTER,Y,0,1,0,28,4,3,6,160,119,2,22,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,235.3,50.4,21.4,Albany
6/7/20,335128,ST PETERS NURSING AND REHABILITATION CENTER,Y,0,1,1,29,3,0,6,160,118,0,22,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,245.8,50.8,20.7,Albany
6/14/20,335128,ST PETERS NURSING AND REHABILITATION CENTER,Y,0,1,1,30,2,1,7,160,115,0,22,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,260.9,60.9,23.3,Albany
6/21/20,335128,ST PETERS NURSING AND REHABILITATION CENTER,Y,1,2,0,30,3,2,9,160,114,0,22,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,263.2,78.9,30,Albany
6/28/20,335128,ST PETERS NURSING AND REHABILITATION CENTER,Y,0,2,0,30,1,0,9,160,114,1,23,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,263.2,78.9,30,Albany
7/5/20,335128,ST PETERS NURSING AND REHABILITATION CENTER,Y,0,2,0,30,3,0,9,160,118,1,24,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,254.2,76.3,30,Albany
7/12/20,335128,ST PETERS NURSING AND REHABILITATION CENTER,Y,0,2,0,30,1,0,9,160,115,2,26,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,260.9,78.3,30,Albany
7/19/20,335128,ST PETERS NURSING AND REHABILITATION CENTER,Y,0,2,13,43,1,1,10,160,112,6,32,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,383.9,89.3,23.3,Albany
7/26/20,335128,ST PETERS NURSING AND REHABILITATION CENTER,Y,0,2,0,43,2,2,12,160,105,2,34,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,409.5,114.3,27.9,Albany
8/2/20,335128,ST PETERS NURSING AND REHABILITATION CENTER,Y,0,2,0,43,4,2,14,160,94,0,34,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,457.4,148.9,32.6,Albany
8/9/20,335128,ST PETERS NURSING AND REHABILITATION CENTER,Y,0,2,1,44,1,1,15,160,90,0,34,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,488.9,166.7,34.1,Albany
8/16/20,335128,ST PETERS NURSING AND REHABILITATION CENTER,Y,0,2,1,45,0,0,15,160,90,0,34,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,500,166.7,33.3,Albany
8/23/20,335128,ST PETERS NURSING AND REHABILITATION CENTER,Y,0,2,0,45,1,0,15,160,97,0,34,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,463.9,154.6,33.3,Albany
8/30/20,335128,ST PETERS NURSING AND REHABILITATION CENTER,Y,0,2,0,45,0,0,15,160,102,1,35,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,441.2,147.1,33.3,Albany
9/6/20,335128,ST PETERS NURSING AND REHABILITATION CENTER,Y,0,2,0,45,1,0,15,160,106,0,35,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,424.5,141.5,33.3,Albany
9/13/20,335128,ST PETERS NURSING AND REHABILITATION CENTER,Y,0,2,0,45,2,0,15,160,105,0,35,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,428.6,142.9,33.3,Albany
9/20/20,335128,ST PETERS NURSING AND REHABILITATION CENTER,Y,0,2,0,45,0,0,15,160,107,0,35,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,420.6,140.2,33.3,Albany
9/27/20,335128,ST PETERS NURSING AND REHABILITATION CENTER,Y,0,2,0,45,3,0,15,160,106,0,35,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,424.5,141.5,33.3,Albany
10/4/20,335128,ST PETERS NURSING AND REHABILITATION CENTER,Y,0,2,0,45,0,0,15,160,118,1,36,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,381.4,127.1,33.3,Albany
10/11/20,335128,ST PETERS NURSING AND REHABILITATION CENTER,Y,0,2,2,47,0,0,15,160,115,0,36,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,408.7,130.4,31.9,Albany
10/18/20,335128,ST PETERS NURSING AND REHABILITATION CENTER,Y,0,2,0,47,0,0,15,160,117,0,36,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,401.7,128.2,31.9,Albany
10/25/20,335128,ST PETERS NURSING AND REHABILITATION CENTER,Y,0,2,0,47,1,0,15,160,118,0,36,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,398.3,127.1,31.9,Albany
5/24/20,335130,THE GRAND REHABILITATION AND NURSING AT QUEENS,Y,14,14,25,25,3,0,0,179,147,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,170.1,0,0,Queens
5/31/20,335130,THE GRAND REHABILITATION AND NURSING AT QUEENS,Y,1,15,0,25,1,0,0,179,143,2,2,1,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,174.8,0,0,Queens
6/7/20,335130,THE GRAND REHABILITATION AND NURSING AT QUEENS,Y,1,16,0,25,1,0,0,179,146,0,2,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,171.2,0,0,Queens
6/14/20,335130,THE GRAND REHABILITATION AND NURSING AT QUEENS,Y,1,17,0,25,0,0,0,179,139,0,2,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,179.9,0,0,Queens
6/21/20,335130,THE GRAND REHABILITATION AND NURSING AT QUEENS,Y,1,18,0,25,0,0,0,179,138,1,3,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,181.2,0,0,Queens
6/28/20,335130,THE GRAND REHABILITATION AND NURSING AT QUEENS,Y,0,18,0,25,0,0,0,179,143,1,4,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,174.8,0,0,Queens
7/5/20,335130,THE GRAND REHABILITATION AND NURSING AT QUEENS,Y,0,18,0,25,1,0,0,179,147,2,6,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,170.1,0,0,Queens
7/12/20,335130,THE GRAND REHABILITATION AND NURSING AT QUEENS,Y,2,20,0,25,0,0,0,179,158,0,6,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,158.2,0,0,Queens
7/19/20,335130,THE GRAND REHABILITATION AND NURSING AT QUEENS,Y,1,21,0,25,0,0,0,179,150,1,7,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,166.7,0,0,Queens
7/26/20,335130,THE GRAND REHABILITATION AND NURSING AT QUEENS,Y,0,21,0,25,1,0,0,179,147,2,9,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,170.1,0,0,Queens
8/2/20,335130,THE GRAND REHABILITATION AND NURSING AT QUEENS,Y,0,21,0,25,0,0,0,179,150,1,10,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,166.7,0,0,Queens
8/9/20,335130,THE GRAND REHABILITATION AND NURSING AT QUEENS,Y,1,22,0,25,0,0,0,179,149,1,11,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,167.8,0,0,Queens
8/16/20,335130,THE GRAND REHABILITATION AND NURSING AT QUEENS,Y,0,22,0,25,1,0,0,179,151,0,11,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,165.6,0,0,Queens
8/23/20,335130,THE GRAND REHABILITATION AND NURSING AT QUEENS,Y,0,22,0,25,0,0,0,179,156,0,11,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,160.3,0,0,Queens
8/30/20,335130,THE GRAND REHABILITATION AND NURSING AT QUEENS,Y,8,30,0,25,1,0,0,179,154,0,11,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,162.3,0,0,Queens
9/6/20,335130,THE GRAND REHABILITATION AND NURSING AT QUEENS,Y,0,30,0,25,0,0,0,179,158,0,11,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,158.2,0,0,Queens
9/13/20,335130,THE GRAND REHABILITATION AND NURSING AT QUEENS,Y,0,30,0,25,1,0,0,179,158,0,11,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,158.2,0,0,Queens
9/20/20,335130,THE GRAND REHABILITATION AND NURSING AT QUEENS,Y,0,30,0,25,1,0,0,179,157,0,11,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,159.2,0,0,Queens
9/27/20,335130,THE GRAND REHABILITATION AND NURSING AT QUEENS,Y,0,30,0,25,1,0,0,179,158,0,11,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,158.2,0,0,Queens
10/4/20,335130,THE GRAND REHABILITATION AND NURSING AT QUEENS,Y,0,30,0,25,0,0,0,179,149,0,11,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,167.8,0,0,Queens
10/11/20,335130,THE GRAND REHABILITATION AND NURSING AT QUEENS,Y,0,30,0,25,0,0,0,179,152,0,11,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,164.5,0,0,Queens
10/18/20,335130,THE GRAND REHABILITATION AND NURSING AT QUEENS,Y,0,30,0,25,2,0,0,179,151,0,11,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,165.6,0,0,Queens
10/25/20,335130,THE GRAND REHABILITATION AND NURSING AT QUEENS,Y,0,30,0,25,0,0,0,179,156,0,11,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,160.3,0,0,Queens
5/24/20,335131,"NEW CARLTON REHAB AND NURSING CENTER, L L C",Y,3,3,4,4,3,2,2,148,116,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,34.5,17.2,50,Kings
5/31/20,335131,"NEW CARLTON REHAB AND NURSING CENTER, L L C",Y,0,3,0,4,1,1,3,148,116,1,1,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,34.5,25.9,75,Kings
6/7/20,335131,"NEW CARLTON REHAB AND NURSING CENTER, L L C",Y,1,4,0,4,0,0,3,148,117,0,1,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,34.2,25.6,75,Kings
6/14/20,335131,"NEW CARLTON REHAB AND NURSING CENTER, L L C",Y,0,4,1,5,0,0,3,148,114,1,2,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,43.9,26.3,60,Kings
6/21/20,335131,"NEW CARLTON REHAB AND NURSING CENTER, L L C",Y,1,5,4,9,0,0,3,148,114,2,4,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,78.9,26.3,33.3,Kings
6/28/20,335131,"NEW CARLTON REHAB AND NURSING CENTER, L L C",Y,2,7,0,9,0,0,3,148,115,0,4,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,78.3,26.1,33.3,Kings
7/5/20,335131,"NEW CARLTON REHAB AND NURSING CENTER, L L C",Y,0,7,0,9,0,0,3,148,115,3,7,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,78.3,26.1,33.3,Kings
7/12/20,335131,"NEW CARLTON REHAB AND NURSING CENTER, L L C",Y,1,8,0,9,0,0,3,148,115,1,8,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,78.3,26.1,33.3,Kings
7/19/20,335131,"NEW CARLTON REHAB AND NURSING CENTER, L L C",Y,3,11,0,9,0,0,3,148,118,1,9,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,76.3,25.4,33.3,Kings
7/26/20,335131,"NEW CARLTON REHAB AND NURSING CENTER, L L C",Y,0,11,0,9,0,0,3,148,117,0,9,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,76.9,25.6,33.3,Kings
8/2/20,335131,"NEW CARLTON REHAB AND NURSING CENTER, L L C",Y,0,11,0,9,0,0,3,148,117,0,9,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,76.9,25.6,33.3,Kings
8/9/20,335131,"NEW CARLTON REHAB AND NURSING CENTER, L L C",Y,0,11,0,9,0,0,3,148,116,0,9,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,77.6,25.9,33.3,Kings
8/16/20,335131,"NEW CARLTON REHAB AND NURSING CENTER, L L C",Y,0,11,0,9,0,0,3,148,115,0,9,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,78.3,26.1,33.3,Kings
8/23/20,335131,"NEW CARLTON REHAB AND NURSING CENTER, L L C",Y,0,11,0,9,0,0,3,148,117,0,9,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,76.9,25.6,33.3,Kings
8/30/20,335131,"NEW CARLTON REHAB AND NURSING CENTER, L L C",Y,0,11,0,9,0,0,3,148,117,1,10,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,76.9,25.6,33.3,Kings
9/6/20,335131,"NEW CARLTON REHAB AND NURSING CENTER, L L C",Y,0,11,0,9,0,0,3,148,116,0,10,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,77.6,25.9,33.3,Kings
9/13/20,335131,"NEW CARLTON REHAB AND NURSING CENTER, L L C",Y,0,11,0,9,0,0,3,148,116,0,10,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,77.6,25.9,33.3,Kings
9/20/20,335131,"NEW CARLTON REHAB AND NURSING CENTER, L L C",Y,0,11,0,9,0,0,3,148,117,1,11,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,76.9,25.6,33.3,Kings
9/27/20,335131,"NEW CARLTON REHAB AND NURSING CENTER, L L C",Y,0,11,0,9,0,0,3,148,116,0,11,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,77.6,25.9,33.3,Kings
10/4/20,335131,"NEW CARLTON REHAB AND NURSING CENTER, L L C",Y,0,11,0,9,0,0,3,148,115,0,11,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,78.3,26.1,33.3,Kings
10/11/20,335131,"NEW CARLTON REHAB AND NURSING CENTER, L L C",Y,0,11,0,9,0,0,3,148,119,0,11,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,75.6,25.2,33.3,Kings
10/18/20,335131,"NEW CARLTON REHAB AND NURSING CENTER, L L C",Y,0,11,0,9,0,0,3,148,119,0,11,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,75.6,25.2,33.3,Kings
10/25/20,335131,"NEW CARLTON REHAB AND NURSING CENTER, L L C",Y,0,11,0,9,0,0,3,148,120,1,12,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,75,25,33.3,Kings
5/24/20,335132,PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,Y,26,26,24,24,13,9,9,527,358,20,20,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,67,25.1,37.5,Queens
5/31/20,335132,PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,Y,3,29,14,38,3,1,10,527,353,6,26,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,107.6,28.3,26.3,Queens
6/7/20,335132,PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,Y,4,33,7,45,3,0,10,527,351,5,31,0,0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,128.2,28.5,22.2,Queens
6/14/20,335132,PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,Y,4,37,1,46,2,0,10,527,343,2,33,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,134.1,29.2,21.7,Queens
6/21/20,335132,PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,Y,4,41,2,48,2,0,10,527,350,6,39,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,137.1,28.6,20.8,Queens
6/28/20,335132,PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,Y,3,44,1,49,2,0,10,527,354,7,46,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,138.4,28.2,20.4,Queens
7/5/20,335132,PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,Y,1,45,0,49,8,0,10,527,351,4,50,0,0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,139.6,28.5,20.4,Queens
7/12/20,335132,PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,Y,4,49,0,49,2,0,10,527,357,5,55,0,0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,137.3,28,20.4,Queens
7/19/20,335132,PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,Y,2,51,1,50,2,0,10,527,353,0,55,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,141.6,28.3,20,Queens
7/26/20,335132,PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,Y,3,54,0,50,2,0,10,527,358,1,56,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,139.7,27.9,20,Queens
8/2/20,335132,PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,Y,3,57,2,52,2,0,10,527,353,0,56,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,147.3,28.3,19.2,Queens
8/9/20,335132,PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,Y,0,57,2,54,0,0,10,527,354,2,58,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,152.5,28.2,18.5,Queens
8/16/20,335132,PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,Y,1,58,0,54,2,0,10,527,358,3,61,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,150.8,27.9,18.5,Queens
8/23/20,335132,PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,Y,0,58,0,54,2,0,10,527,363,0,61,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,148.8,27.5,18.5,Queens
8/30/20,335132,PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,Y,0,58,0,54,2,0,10,527,356,0,61,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,151.7,28.1,18.5,Queens
9/6/20,335132,PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,Y,0,58,0,54,2,0,10,527,365,0,61,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,147.9,27.4,18.5,Queens
9/13/20,335132,PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,Y,0,58,0,54,0,0,10,527,370,0,61,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,145.9,27,18.5,Queens
9/20/20,335132,PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,Y,0,58,0,54,4,0,10,527,366,1,62,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,147.5,27.3,18.5,Queens
9/27/20,335132,PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,Y,0,58,0,54,4,0,10,527,358,1,63,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,150.8,27.9,18.5,Queens
10/4/20,335132,PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,Y,0,58,0,54,0,0,10,527,362,0,63,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,149.2,27.6,18.5,Queens
10/11/20,335132,PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,Y,0,58,0,54,0,0,10,527,362,3,66,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,149.2,27.6,18.5,Queens
10/18/20,335132,PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,Y,0,58,0,54,4,0,10,527,359,0,66,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,150.4,27.9,18.5,Queens
10/25/20,335132,PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,Y,0,58,0,54,1,0,10,527,356,2,68,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,151.7,28.1,18.5,Queens
5/24/20,335133,SAPPHIRE CTR FOR REHAB & NRSG OF CTRL QUEENS,Y,4,4,35,35,1,1,1,227,135,17,17,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,259.3,7.4,2.9,Queens
5/31/20,335133,SAPPHIRE CTR FOR REHAB & NRSG OF CTRL QUEENS,Y,3,7,0,35,0,0,1,227,137,1,18,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,255.5,7.3,2.9,Queens
6/7/20,335133,SAPPHIRE CTR FOR REHAB & NRSG OF CTRL QUEENS,Y,3,10,0,35,0,0,1,227,142,2,20,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,246.5,7,2.9,Queens
6/14/20,335133,SAPPHIRE CTR FOR REHAB & NRSG OF CTRL QUEENS,Y,0,10,0,35,0,0,1,227,147,4,24,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,238.1,6.8,2.9,Queens
6/21/20,335133,SAPPHIRE CTR FOR REHAB & NRSG OF CTRL QUEENS,Y,1,11,1,36,0,0,1,227,153,1,25,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,235.3,6.5,2.8,Queens
6/28/20,335133,SAPPHIRE CTR FOR REHAB & NRSG OF CTRL QUEENS,Y,0,11,0,36,0,0,1,227,157,4,29,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,229.3,6.4,2.8,Queens
7/5/20,335133,SAPPHIRE CTR FOR REHAB & NRSG OF CTRL QUEENS,Y,0,11,5,41,0,0,1,227,156,0,29,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,262.8,6.4,2.4,Queens
7/12/20,335133,SAPPHIRE CTR FOR REHAB & NRSG OF CTRL QUEENS,Y,3,14,2,43,0,0,1,227,151,0,29,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,284.8,6.6,2.3,Queens
7/19/20,335133,SAPPHIRE CTR FOR REHAB & NRSG OF CTRL QUEENS,Y,0,14,0,43,0,0,1,227,152,0,29,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,282.9,6.6,2.3,Queens
7/26/20,335133,SAPPHIRE CTR FOR REHAB & NRSG OF CTRL QUEENS,Y,1,15,0,43,0,0,1,227,150,0,29,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,,,,,286.7,6.7,2.3,Queens
8/2/20,335133,SAPPHIRE CTR FOR REHAB & NRSG OF CTRL QUEENS,Y,0,15,0,43,0,0,1,227,149,0,29,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,288.6,6.7,2.3,Queens
8/9/20,335133,SAPPHIRE CTR FOR REHAB & NRSG OF CTRL QUEENS,Y,2,17,0,43,0,0,1,227,154,0,29,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,279.2,6.5,2.3,Queens
8/16/20,335133,SAPPHIRE CTR FOR REHAB & NRSG OF CTRL QUEENS,Y,0,17,0,43,0,0,1,227,147,0,29,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,292.5,6.8,2.3,Queens
8/23/20,335133,SAPPHIRE CTR FOR REHAB & NRSG OF CTRL QUEENS,Y,0,17,0,43,0,0,1,227,152,0,29,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,282.9,6.6,2.3,Queens
8/30/20,335133,SAPPHIRE CTR FOR REHAB & NRSG OF CTRL QUEENS,Y,1,18,0,43,0,0,1,227,155,0,29,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,277.4,6.5,2.3,Queens
9/6/20,335133,SAPPHIRE CTR FOR REHAB & NRSG OF CTRL QUEENS,Y,1,19,0,43,0,0,1,227,158,0,29,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,272.2,6.3,2.3,Queens
9/13/20,335133,SAPPHIRE CTR FOR REHAB & NRSG OF CTRL QUEENS,Y,2,21,0,43,0,0,1,227,155,0,29,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,277.4,6.5,2.3,Queens
9/20/20,335133,SAPPHIRE CTR FOR REHAB & NRSG OF CTRL QUEENS,Y,0,21,0,43,0,0,1,227,159,0,29,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,270.4,6.3,2.3,Queens
9/27/20,335133,SAPPHIRE CTR FOR REHAB & NRSG OF CTRL QUEENS,Y,0,21,0,43,0,0,1,227,160,0,29,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,268.8,6.3,2.3,Queens
10/4/20,335133,SAPPHIRE CTR FOR REHAB & NRSG OF CTRL QUEENS,Y,0,21,2,45,0,0,1,227,160,1,30,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,281.3,6.3,2.2,Queens
10/11/20,335133,SAPPHIRE CTR FOR REHAB & NRSG OF CTRL QUEENS,Y,0,21,0,45,0,0,1,227,157,0,30,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,286.6,6.4,2.2,Queens
10/18/20,335133,SAPPHIRE CTR FOR REHAB & NRSG OF CTRL QUEENS,Y,1,22,0,45,0,0,1,227,160,0,30,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,281.3,6.3,2.2,Queens
10/25/20,335133,SAPPHIRE CTR FOR REHAB & NRSG OF CTRL QUEENS,Y,0,22,0,45,0,0,1,227,158,0,30,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,284.8,6.3,2.2,Queens
5/24/20,335136,LORETTO HEALTH AND REHABILITATION CENTER,Y,23,23,37,37,2,0,0,583,535,10,10,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,69.2,0,0,Onondaga
